,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
21,Renan dos Santos\Renan-dos-Santos,br BRA,GK,bg Ludogorets,30,1989,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
22,Douglas\Douglas,br BRA,GK,pt Vitória,36,1983,2,2,180,2.0,2,1.00,5,4,80.0,0,2,0,0,0.0,1,1,0,0,0.0,Matches
23,Nenad Erić\Nenad-Eric,kz KAZ,GK,kz Astana FK,37,1982,6,6,475,5.3,13,2.46,38,24,65.8,1,0,5,0,0.0,0,0,0,0,,Matches
24,Fraser Forster\Fraser-Forster,eng ENG,GK,sco Celtic,31,1988,7,7,630,7.0,8,1.14,28,20,75.0,4,2,1,1,14.3,2,1,0,1,0.0,Matches
25,David de Gea\David-de-Gea,es ESP,GK,eng Manchester Utd,28,1990,2,2,180,2.0,2,1.00,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,Matches
26,Craig Gordon\Craig-Gordon,sco SCO,GK,sco Celtic,36,1982,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches
27,Lee Grant\Lee-Grant,eng ENG,GK,eng Manchester Utd,36,1983,1,1,90,1.0,2,2.00,4,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
28,Dominik Greif\Dominik-Greif,sk SVK,GK,sk Slovan Bratislava,22,1997,6,6,540,6.0,13,2.17,32,24,68.8,1,1,4,0,0.0,4,3,1,0,25.0,Matches
29,Mert Günok\Mert-Gunok,tr TUR,GK,tr Başakşehir,30,1989,10,10,930,10.3,16,1.55,49,36,71.4,5,1,4,3,30.0,2,2,0,0,0.0,Matches
30,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,35,1984,4,4,360,4.0,4,1.00,10,7,60.0,3,0,1,2,50.0,1,0,0,1,,Matches
31,André Hansen\Andre-Hansen,no NOR,GK,no Rosenborg,29,1989,5,5,450,5.0,10,2.00,25,16,60.0,0,0,5,0,0.0,0,0,0,0,,Matches
32,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,29,1989,5,5,450,5.0,5,1.00,18,13,72.2,4,0,1,1,20.0,0,0,0,0,,Matches
33,Plamen Iliev\Plamen-Iliev,bg BUL,GK,bg Ludogorets,27,1991,7,7,630,7.0,13,1.86,40,26,72.5,1,2,4,1,14.3,2,2,0,0,0.0,Matches
34,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,dk FC Copenhagen,29,1990,11,11,1020,11.3,8,0.71,41,36,87.8,4,4,3,3,27.3,4,3,1,0,25.0,Matches
35,Jonathan Joubert\Jonathan-Joubert,lu LUX,GK,lu F91 Dudelange,39,1979,6,6,540,6.0,18,3.00,46,31,67.4,1,1,4,0,0.0,3,3,0,0,0.0,Matches
36,Thomas Kaminski\Thomas-Kaminski,be BEL,GK,be Gent,26,1992,8,8,720,8.0,9,1.13,25,17,64.0,3,4,1,1,12.5,0,0,0,0,,Matches
37,Erce Kardeşler\Erce-Kardesler,tr TUR,GK,tr Trabzonspor,25,1994,3,3,270,3.0,6,2.00,14,8,57.1,0,0,3,0,0.0,0,0,0,0,,Matches
38,Loris Karius\Loris-Karius,de GER,GK,tr Beşiktaş,26,1993,5,5,450,5.0,11,2.20,25,13,56.0,1,0,4,0,0.0,0,0,0,0,,Matches
39,Filip Kljajić\Filip-Kljajic,rs SRB,GK,rs Partizan,28,1990,1,0,21,0.2,1,4.29,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
40,Alexander Kofler\Alexander-Kofler,at AUT,GK,at Wolfsberger AC,32,1986,6,6,540,6.0,8,1.33,31,25,80.6,1,2,3,1,16.7,2,2,0,0,0.0,Matches
41,Stanislav Kritsyuk\Stanislav-Kritsyuk,ru RUS,GK,ru Krasnodar,28,1990,3,3,270,3.0,4,1.33,11,7,63.6,2,0,1,1,33.3,0,0,0,0,,Matches
42,Bernd Leno\Bernd-Leno,de GER,GK,eng Arsenal,27,1992,2,2,210,2.3,2,0.86,7,5,71.4,1,0,1,1,50.0,0,0,0,0,,Matches
43,Diego López\Diego-Lopez,es ESP,GK,es Espanyol,37,1981,5,5,450,5.0,3,0.60,13,12,84.6,3,2,0,3,60.0,2,1,1,0,50.0,Matches
44,Pau López\Pau-Lopez,es ESP,GK,it Roma,24,1994,8,7,659,7.3,7,0.96,25,20,76.0,3,2,2,3,42.9,1,1,0,0,0.0,Matches
45,Agustín Marchesín\Agustin-Marchesin,ar ARG,GK,pt Porto,31,1988,8,8,720,8.0,14,1.75,30,18,60.0,3,1,4,0,0.0,2,2,0,0,0.0,Matches
46,Nick Marsman\Nick-Marsman,nl NED,GK,nl Feyenoord,28,1990,2,2,180,2.0,5,2.50,8,4,37.5,0,1,1,0,0.0,0,0,0,0,,Matches
47,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,eng Arsenal,26,1992,6,6,540,6.0,7,1.17,26,19,73.1,3,2,1,2,33.3,0,0,0,0,,Matches
48,Matheus\Matheus,br BRA,GK,pt Braga,27,1992,4,4,360,4.0,5,1.25,18,12,72.2,2,0,2,1,25.0,2,0,1,1,100.0,Matches
49,Luís Maximiano\Luis-Maximiano,pt POR,GK,pt Sporting CP,20,1999,4,3,354,3.9,7,1.78,17,13,76.5,2,0,1,1,33.3,3,3,0,0,0.0,Matches
50,Allan McGregor\Allan-McGregor,sco SCO,GK,sco Rangers,37,1982,10,10,900,10.0,12,1.20,34,23,67.6,4,3,3,3,30.0,1,1,0,0,0.0,Matches
51,Edouard Mendy\Edouard-Mendy,sn SEN,GKMF,fr Rennes,27,1992,4,4,274,3.0,6,1.97,13,8,61.5,0,1,3,0,0.0,1,1,0,0,0.0,Matches
52,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,31,1988,2,2,180,2.0,6,3.00,14,7,64.3,0,1,1,0,0.0,1,1,0,0,0.0,Matches
53,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,be Standard Liège,22,1997,3,3,270,3.0,6,2.00,17,11,64.7,1,0,2,1,33.3,0,0,0,0,,Matches
54,Antonio Mirante\Antonio-Mirante,it ITA,GK,it Roma,36,1983,2,2,151,1.7,2,1.19,7,6,71.4,0,2,0,0,0.0,0,0,0,0,,Matches
55,Aleksandr Mokin\Aleksandr-Mokin,kz KAZ,GK,kz Astana FK,38,1981,1,0,65,0.7,6,8.31,11,6,63.6,0,0,0,0,,2,2,0,0,0.0,Matches
56,Jessy Moulin\Jessy-Moulin,fr FRA,GK,fr Saint-Étienne,33,1986,2,2,180,2.0,2,1.00,9,6,77.8,0,1,1,0,0.0,0,0,0,0,,Matches
57,Đorđe Nikolić\Djordje-Nikolic,rs SRB,GK,ch Basel,22,1997,4,4,360,4.0,4,1.00,13,10,76.9,3,0,1,3,75.0,2,1,0,1,0.0,Matches
58,Jonas Omlin\Jonas-Omlin,ch SUI,GK,ch Basel,25,1994,7,7,630,7.0,4,0.57,20,18,90.0,5,1,1,4,57.1,2,2,0,0,0.0,Matches
59,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,23,1996,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches
60,Daniele Padelli\Daniele-Padelli,it ITA,GK,it Inter,33,1985,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches
61,Yuriy Pankiv\Yuriy-Pankiv,ua UKR,GK,ua FC Oleksandriya,34,1984,6,6,540,6.0,10,1.67,24,16,66.7,0,3,3,0,0.0,2,2,0,0,0.0,Matches
62,Rui Patrício\Rui-Patricio,pt POR,GK,eng Wolves,31,1988,10,10,900,10.0,10,1.00,33,24,72.7,5,2,3,4,40.0,1,1,0,0,0.0,Matches
63,Pavao Pervan\Pavao-Pervan,at AUT,GK,de Wolfsburg,31,1987,5,5,450,5.0,7,1.40,14,7,50.0,2,2,1,1,20.0,0,0,0,0,,Matches
64,Ilya Pomazun\Ilya-Pomazun,ru RUS,GK,ru CSKA Moscow,22,1996,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
65,Andrés Prieto\Andres-Prieto,es ESP,GK,es Espanyol,25,1993,3,3,270,3.0,7,2.33,12,5,41.7,1,0,2,0,0.0,0,0,0,0,,Matches
66,Silvio Proto\Silvio-Proto,be BEL,GK,it Lazio,36,1983,2,2,180,2.0,2,1.00,10,8,80.0,1,0,1,1,50.0,0,0,0,0,,Matches
67,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6,6,540,6.0,11,1.83,26,16,61.5,4,1,1,1,16.7,2,1,0,1,0.0,Matches
68,Renan Ribeiro\Renan-Ribeiro,br BRA,GKMF,pt Sporting CP,29,1990,5,5,393,4.4,5,1.15,23,19,78.3,3,0,2,2,40.0,0,0,0,0,,Matches
69,Sergio Romero\Sergio-Romero,ar ARG,GK,eng Manchester Utd,32,1987,9,9,840,9.3,2,0.21,13,11,84.6,8,1,0,7,77.8,0,0,0,0,,Matches
70,John Ruddy\John-Ruddy,eng ENG,GK,eng Wolves,32,1986,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
71,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,fr Saint-Étienne,32,1986,4,4,360,4.0,6,1.50,8,4,25.0,0,3,1,1,25.0,0,0,0,0,,Matches
72,Robbin Ruiter\Robbin-Ruiter,nl NED,GK,nl PSV Eindhoven,32,1987,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
73,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,de Eint Frankfurt,26,1992,5,5,450,5.0,7,1.40,20,13,65.0,3,0,2,1,20.0,0,0,0,0,,Matches
74,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,26,1993,3,3,300,3.3,3,0.90,11,8,72.7,1,1,1,0,0.0,0,0,0,0,,Matches
75,Tiago Sá\Tiago-Sa,pt POR,GK,pt Braga,24,1995,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
76,Matvei Safonov\Matvei-Safonov,ru RUS,GK,ru Krasnodar,20,1999,3,3,270,3.0,7,2.33,21,15,66.7,1,0,2,1,33.3,0,0,0,0,,Matches
77,Məhəmmədəliyev Şahruddin Maqomedoviç\Mhmmdliyev-Sahruddin-Maqomedovic,az AZE,GK,az Qarabağ Ağdam,25,1994,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
78,Romain Salin\Romain-Salin,fr FRA,GK,fr Rennes,35,1984,2,2,180,2.0,1,0.50,3,2,66.7,1,0,1,1,50.0,0,0,0,0,,Matches
79,Alexander Schlager\Alexander-Schlager,at AUT,GK,at LASK,23,1996,10,10,900,10.0,12,1.20,33,22,69.7,5,2,3,4,40.0,2,2,0,0,0.0,Matches
80,João Miguel Macedo Silva\Joao-Miguel-Macedo-Silva,pt POR,GK,pt Vitória,24,1995,4,4,360,4.0,8,2.00,17,10,52.9,1,0,3,0,0.0,0,0,0,0,,Matches
81,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,30,1988,6,6,540,6.0,9,1.50,25,16,64.0,2,2,2,1,16.7,0,0,0,0,,Matches
82,David Soria\David-Soria,es ESP,GK,es Getafe,26,1993,4,4,360,4.0,4,1.00,8,5,50.0,2,0,2,2,50.0,0,0,0,0,,Matches
83,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,26,1992,2,2,180,2.0,6,3.00,15,9,60.0,0,1,1,0,0.0,0,0,0,0,,Matches
84,Vladimir Stojković\Vladimir-Stojkovic,rs SRB,GK,rs Partizan,36,1983,6,6,519,5.8,9,1.56,18,10,55.6,2,2,2,0,0.0,1,1,0,0,0.0,Matches
85,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,24,1995,4,4,360,4.0,7,1.75,9,3,33.3,1,0,3,0,0.0,1,1,0,0,0.0,Matches
86,Kevin Trapp\Kevin-Trapp,de GER,GK,de Eint Frankfurt,29,1990,5,5,450,5.0,10,2.00,26,17,65.4,1,1,3,0,0.0,1,1,0,0,0.0,Matches
87,Lars Unnerstall\Lars-Unnerstall,de GER,GK,nl PSV Eindhoven,29,1990,2,2,180,2.0,5,2.50,9,5,55.6,0,1,1,0,0.0,1,1,0,0,0.0,Matches
88,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,es Sevilla,30,1989,2,2,180,2.0,1,0.50,1,1,100.0,1,1,0,1,50.0,1,1,0,0,0.0,Matches
89,Bruno Varela\Bruno-Varela,pt POR,GK,nl Ajax,24,1994,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
90,Kenneth Vermeer\Kenneth-Vermeer,nl NED,GK,nl Feyenoord,33,1986,4,4,360,4.0,4,1.00,12,9,83.3,1,1,2,1,25.0,3,2,0,1,0.0,Matches
91,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,25,1994,2,2,180,2.0,5,2.50,14,9,64.3,0,1,1,0,0.0,0,0,0,0,,Matches
92,Boy Waterman\Boy-Waterman,nl NED,GK,cy APOEL,35,1984,1,1,90,1.0,1,1.00,4,4,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
93,Utku Yuvakuran\Utku-Yuvakuran,tr TUR,GK,tr Beşiktaş,21,1997,1,1,90,1.0,4,4.00,7,2,42.9,0,0,1,0,0.0,0,0,0,0,,Matches
94,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,nl PSV Eindhoven,28,1991,3,3,270,3.0,6,2.00,17,12,70.6,1,1,1,1,33.3,1,1,0,0,0.0,Matches
95,Arild Østbø\Arild-Ostbo,no NOR,GK,no Rosenborg,28,1991,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches

