,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
18,Renan dos Santos\Renan-dos-Santos,br BRA,GK,bg Ludogorets,29,1989,5,5,450,5.0,6,1.20,21,16,76.2,0,3,2,1,20.0,1,1,0,0,0.0,Matches
19,Nenad Erić\Nenad-Eric,kz KAZ,GK,kz Astana FK,36,1982,6,6,540,6.0,7,1.17,23,17,69.6,2,2,2,1,16.7,1,0,0,1,,Matches
20,Florian Escales\Florian-Escales,fr FRA,GK,fr Marseille,22,1996,1,1,90,1.0,3,3.00,2,0,0.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
21,Andrés Fernández\Andres-Fernandez,es ESP,GK,es Villarreal,31,1986,12,12,1080,12.0,13,1.08,36,24,66.7,5,5,2,5,41.7,2,1,1,0,50.0,Matches
22,Joe Frising\Joe-Frising,lu LUX,GK,lu F91 Dudelange,24,1994,2,2,180,2.0,4,2.00,11,7,63.6,0,0,2,0,0.0,0,0,0,0,,Matches
23,Andreas Gianniotis\Andreas-Gianniotis,gr GRE,GK,gr Olympiacos,25,1992,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
24,Craig Gordon\Craig-Gordon,sco SCO,GK,sco Celtic,35,1982,6,6,540,6.0,8,1.33,20,13,65.0,3,0,3,2,33.3,1,1,0,0,0.0,Matches
25,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,34,1984,4,4,360,4.0,1,0.25,16,15,93.8,2,1,1,3,75.0,0,0,0,0,,Matches
26,André Hansen\Andre-Hansen,no NOR,GK,no Rosenborg,28,1989,6,6,540,6.0,14,2.33,52,40,75.0,0,1,5,0,0.0,1,1,0,0,0.0,Matches
27,Ethan Horvath\Ethan-Horvath,us USA,GK,be Club Brugge,23,1995,2,2,180,2.0,5,2.50,11,6,54.5,1,0,1,0,0.0,1,0,1,0,100.0,Matches
28,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,28,1989,6,6,540,6.0,8,1.33,22,14,63.6,3,2,1,2,33.3,0,0,0,0,,Matches
29,Vlastimil Hrubý\Vlastimil-Hruby,cz CZE,GK,cz Jablonec,33,1985,6,6,540,6.0,8,1.33,24,17,70.8,1,2,3,1,16.7,1,1,0,0,0.0,Matches
30,Nordin Jackers\Nordin-Jackers,be BEL,GK,be Genk,20,1997,1,0,32,0.4,2,5.63,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches
31,Jesse Joronen\Jesse-Joronen,fi FIN,GK,dk FC Copenhagen,25,1993,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
32,Loris Karius\Loris-Karius,de GER,GK,tr Beşiktaş,25,1993,5,5,450,5.0,10,2.00,22,15,59.1,2,0,3,0,0.0,1,1,0,0,0.0,Matches
33,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,31,1987,2,1,116,1.3,2,1.55,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
34,Thorsten Kirschbaum\Thorsten-Kirschbaum,de GER,GK,de Leverkusen,31,1987,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
35,Anastasios Kissas\Anastasios-Kissas,cy CYP,GK,cy Apollon,30,1988,1,1,90,1.0,3,3.00,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
36,Ondřej Kolář\Ondrej-Kolar,cz CZE,GK,cz Slavia Prague,23,1994,12,12,1110,12.3,14,1.14,34,22,61.8,5,3,4,5,41.7,1,1,0,0,0.0,Matches
37,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,fr Rennes,25,1992,7,7,630,7.0,12,1.71,36,24,66.7,4,1,2,1,14.3,0,0,0,0,,Matches
38,Ádám Kovácsik\Adam-Kovacsik,hu HUN,GK,hu Vidi,27,1991,4,4,360,4.0,4,1.00,10,6,60.0,2,1,1,2,50.0,0,0,0,0,,Matches
39,Matúš Kozáčik\Matus-Kozacik,sk SVK,GK,cz Viktoria Plzeň,34,1983,2,2,180,2.0,4,2.00,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,Matches
40,Stanislav Kritsyuk\Stanislav-Kritsyuk,ru RUS,GK,ru Krasnodar,27,1990,4,4,360,4.0,4,1.00,15,13,80.0,2,1,1,2,50.0,1,1,0,0,0.0,Matches
41,Bernd Leno\Bernd-Leno,de GER,GK,eng Arsenal,26,1992,3,3,270,3.0,2,0.67,7,5,71.4,3,0,0,2,66.7,0,0,0,0,,Matches
42,Dominik Livaković\Dominik-Livakovic,hr CRO,GK,hr Dinamo Zagreb,23,1995,10,10,930,10.3,8,0.77,30,22,73.3,6,2,2,5,50.0,0,0,0,0,,Matches
43,Pau López\Pau-Lopez,es ESP,GK,es Betis,23,1994,2,2,180,2.0,2,1.00,6,4,66.7,1,1,0,0,0.0,0,0,0,0,,Matches
44,Milan Lukač\Milan-Lukac,rs SRB,GK,tr Akhisarspor,32,1985,4,4,360,4.0,11,2.75,21,13,57.1,0,1,3,1,25.0,2,2,0,0,0.0,Matches
45,Andrey Lunyov\Andrey-Lunyov,ru RUS,GK,ru Zenit,26,1991,9,9,784,8.7,10,1.15,47,38,80.9,4,2,3,2,22.2,1,1,0,0,0.0,Matches
46,Aleksandr Maksimenko\Aleksandr-Maksimenko,ru RUS,GK,ru Spartak Moscow,20,1998,5,5,450,5.0,10,2.00,25,18,64.0,1,2,2,1,20.0,1,1,0,0,0.0,Matches
47,Steve Mandanda\Steve-Mandanda,fr FRA,GK,fr Marseille,33,1985,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
48,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,eng Arsenal,25,1992,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
49,Allan McGregor\Allan-McGregor,sco SCO,GK,sco Rangers,36,1982,6,6,540,6.0,8,1.33,21,14,61.9,1,3,2,2,33.3,0,0,0,0,,Matches
50,Alex Meret\Alex-Meret,it ITA,GK,it Napoli,21,1997,6,6,540,6.0,7,1.17,24,19,75.0,3,0,3,2,33.3,1,1,0,0,0.0,Matches
51,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,32,1986,2,2,180,2.0,2,1.00,8,7,87.5,0,1,1,1,50.0,1,1,0,0,0.0,Matches
52,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,24,1994,6,6,540,6.0,8,1.33,20,12,60.0,2,1,3,1,16.7,0,0,0,0,,Matches
53,Neto\Neto,br BRA,GK,es Valencia,29,1989,8,8,720,8.0,10,1.25,28,19,67.9,5,1,2,3,37.5,1,1,0,0,0.0,Matches
54,Guillermo Ochoa\Guillermo-Ochoa,mx MEX,GK,be Standard Liège,33,1985,6,6,540,6.0,9,1.50,29,21,72.4,3,1,2,2,33.3,1,1,0,0,0.0,Matches
55,Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,de Leverkusen,34,1984,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
56,Fatih Öztürk\Fatih-Ozturk,tr TUR,GK,tr Akhisarspor,31,1986,2,2,180,2.0,3,1.50,5,2,40.0,0,0,2,0,0.0,0,0,0,0,,Matches
57,Alexandros Paschalakis\Alexandros-Paschalakis,gr GRE,GK,gr PAOK,29,1989,6,6,540,6.0,12,2.00,24,14,54.2,1,0,5,0,0.0,1,1,0,0,0.0,Matches
58,Yohann Pelé\Yohann-Pele,fr FRA,GK,fr Marseille,35,1982,4,4,360,4.0,10,2.50,18,10,44.4,0,1,3,0,0.0,0,0,0,0,,Matches
59,Silvio Proto\Silvio-Proto,be BEL,GK,it Lazio,35,1983,4,4,360,4.0,9,2.25,16,7,43.8,1,0,3,0,0.0,0,0,0,0,,Matches
60,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,34,1984,2,2,180,2.0,6,3.00,9,4,44.4,0,1,1,0,0.0,1,1,0,0,0.0,Matches
61,Toño Ramírez\Tono-Ramirez,es ESP,GK,cy AÉK Lárnaka,31,1986,5,5,450,5.0,7,1.40,25,19,76.0,1,2,2,1,20.0,1,1,0,0,0.0,Matches
62,Artyom Rebrov\Artyom-Rebrov,ru RUS,GK,ru Spartak Moscow,34,1984,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
63,Pepe Reina\Pepe-Reina,es ESP,GK,it Milan,35,1982,6,6,540,6.0,9,1.50,18,11,55.6,3,1,2,1,16.7,1,1,0,0,0.0,Matches
64,Renan Ribeiro\Renan-Ribeiro,br BRA,GK,pt Sporting CP,28,1990,3,3,270,3.0,2,0.67,12,10,83.3,1,1,1,1,33.3,0,0,0,0,,Matches
65,Joel Robles\Joel-Robles,es ESP,GK,es Betis,28,1990,6,6,540,6.0,6,1.00,22,18,77.3,2,3,1,4,66.7,1,1,0,0,0.0,Matches
66,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,de Eint Frankfurt,25,1992,2,2,180,2.0,1,0.50,6,5,83.3,2,0,0,1,50.0,0,0,0,0,,Matches
67,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,25,1993,7,7,630,7.0,9,1.29,33,24,72.7,3,1,3,1,14.3,1,0,0,1,,Matches
68,Matvei Safonov\Matvei-Safonov,ru RUS,GK,ru Krasnodar,19,1999,5,5,450,5.0,6,1.20,20,14,70.0,2,2,1,0,0.0,0,0,0,0,,Matches
69,Romain Salin\Romain-Salin,fr FRA,GK,pt Sporting CP,34,1984,5,5,450,5.0,3,0.60,16,13,81.3,3,1,1,2,40.0,0,0,0,0,,Matches
70,Denis Scherbitskiy\Denis-Scherbitskiy,by BLR,GK,by BATE Borisov,22,1996,8,8,720,8.0,12,1.50,38,27,68.4,4,0,4,3,37.5,0,0,0,0,,Matches
71,Bohdan Shust\Bohdan-Shust,ua UKR,GK,ua Vorskla Poltava,32,1986,5,5,450,5.0,10,2.00,23,15,65.2,1,0,4,1,20.0,2,2,0,0,0.0,Matches
72,Vagner da Silva\Vagner-da-Silva,br BRA,GK,az Qarabağ Ağdam,32,1986,4,4,360,4.0,7,1.75,12,5,41.7,0,0,4,0,0.0,0,0,0,0,,Matches
73,Andrei Sinitsyn\Andrei-Sinitsyn,ru RUS,GK,ru Krasnodar,30,1988,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
74,Juan Soriano\Juan-Soriano,es ESP,GK,es Sevilla,20,1997,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
75,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,23,1995,4,4,360,4.0,5,1.25,15,10,66.7,2,0,2,0,0.0,0,0,0,0,,Matches
76,Richard Strebinger\Richard-Strebinger,at AUT,GK,at Rapid Wien,25,1993,8,8,720,8.0,14,1.75,29,18,58.6,3,1,4,3,37.5,2,2,0,0,0.0,Matches
77,Harun Tekin\Harun-Tekin,tr TUR,GK,tr Fenerbahçe,29,1989,8,8,720,8.0,10,1.25,27,17,63.0,3,2,3,4,50.0,1,0,1,0,100.0,Matches
78,Oleksandr Tkachenko\Oleksandr-Tkachenko,ua UKR,GK,ua Vorskla Poltava,25,1993,1,1,90,1.0,3,3.00,9,7,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
79,Kevin Trapp\Kevin-Trapp,de GER,GK,de Eint Frankfurt,28,1990,12,12,1110,12.3,13,1.05,51,40,80.4,7,3,2,4,33.3,4,3,1,0,25.0,Matches
80,Tomáš Tujvel\Tomas-Tujvel,sk SVK,GK,hu Vidi,34,1983,2,2,180,2.0,3,1.50,9,6,66.7,0,0,2,0,0.0,0,0,0,0,,Matches
81,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,es Sevilla,29,1989,10,10,885,9.8,12,1.22,30,20,63.3,6,1,3,4,40.0,2,1,0,1,0.0,Matches
82,Bruno Vale\Bruno-Vale,pt POR,GK,cy Apollon,35,1983,5,5,450,5.0,7,1.40,19,13,68.4,2,1,2,1,20.0,1,1,0,0,0.0,Matches
83,Andris Vaņins\Andris-Vanins,lv LVA,GK,ch Zürich,38,1980,1,1,90,1.0,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,Matches
84,Aleksandr Vasyutin\Aleksandr-Vasyutin,ru RUS,GK,no Sarpsborg 08,23,1995,6,6,540,6.0,13,2.17,31,18,58.1,1,2,3,0,0.0,0,0,0,0,,Matches
85,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,24,1994,6,6,570,6.3,6,0.95,18,13,72.2,3,1,2,2,33.3,1,1,0,0,0.0,Matches
86,Danny Vukovic\Danny-Vukovic,au AUS,GK,be Genk,33,1985,8,8,688,7.6,10,1.31,30,20,66.7,3,3,2,3,37.5,0,0,0,0,,Matches
87,Alexander Walke\Alexander-Walke,de GER,GK,at RB Salzburg,35,1983,10,10,900,10.0,12,1.20,33,22,63.6,8,0,2,3,30.0,1,0,0,1,,Matches
88,Tolga Zengin\Tolga-Zengin,tr TUR,GK,tr Beşiktaş,34,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
89,Hannes Þór Halldórsson\Hannes-Thor-Halldorsson,is ISL,GK,az Qarabağ Ağdam,34,1984,2,2,180,2.0,6,3.00,9,4,44.4,1,0,1,1,50.0,1,1,0,0,0.0,Matches

