,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
67,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6.0,11,1,0,3,0,8.2,0.30,-2.8,-0.46,50,129,38.8,200,37,47.5,42.2,49,69.4,51.1,46,6,13.0,0,0.00,13.2,Matches
68,Renan Ribeiro\Renan-Ribeiro,br BRA,GKMF,pt Sporting CP,29,1990,4.4,5,0,0,2,1,3.7,0.17,-0.3,-0.07,40,113,35.4,113,15,65.5,48.8,45,86.7,62.0,40,2,5.0,1,0.23,11.7,Matches
69,Sergio Romero\Sergio-Romero,ar ARG,GK,eng Manchester Utd,32,1987,9.3,2,0,0,1,0,2.5,0.19,+0.5,+0.05,31,77,40.3,192,47,30.2,31.1,72,26.4,29.9,60,3,5.0,8,0.86,16.1,Matches
70,John Ruddy\John-Ruddy,eng ENG,GK,eng Wolves,32,1986,1.0,0,0,0,0,0,0.2,0.19,+0.2,+0.19,4,8,50.0,10,2,40.0,30.8,7,57.1,45.1,4,1,25.0,0,0.00,8.7,Matches
71,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,fr Saint-Étienne,32,1986,4.0,6,0,0,0,2,3.8,0.48,-0.2,-0.04,37,75,49.3,83,10,56.6,41.1,34,82.4,60.7,27,1,3.7,1,0.25,19.0,Matches
72,Robbin Ruiter\Robbin-Ruiter,nl NED,GK,nl PSV Eindhoven,32,1987,1.0,1,0,0,1,0,1.9,0.47,+0.9,+0.89,7,31,22.6,34,4,70.6,49.6,11,63.6,52.5,13,4,30.8,0,0.00,16.0,Matches
73,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,de Eint Frankfurt,26,1992,5.0,7,0,0,2,0,5.8,0.29,-1.2,-0.24,54,112,48.2,164,27,53.7,40.1,43,55.8,46.2,37,3,8.1,5,1.00,15.8,Matches
74,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,26,1993,3.3,3,0,0,0,0,3.1,0.28,+0.1,+0.03,13,81,16.0,108,11,49.1,42.0,36,77.8,59.6,51,5,9.8,1,0.30,12.0,Matches
75,Tiago Sá\Tiago-Sa,pt POR,GK,pt Braga,24,1995,1.0,2,0,0,0,0,2.6,0.43,+0.6,+0.60,5,11,45.5,26,11,26.9,29.3,8,50.0,46.3,16,0,0.0,0,0.00,14.4,Matches
76,Matvei Safonov\Matvei-Safonov,ru RUS,GK,ru Krasnodar,20,1999,3.0,7,0,0,0,1,8.4,0.40,+2.4,+0.81,19,50,38.0,82,24,35.4,34.8,35,60.0,45.3,35,0,0.0,3,1.00,14.7,Matches
77,Məhəmmədəliyev Şahruddin Maqomedoviç\Mhmmdliyev-Sahruddin-Maqomedovic,az AZE,GK,az Qarabağ Ağdam,25,1994,1.0,1,0,0,0,0,1.7,0.55,+0.7,+0.66,6,13,46.2,31,10,35.5,33.9,4,50.0,50.8,11,5,45.5,1,1.00,15.2,Matches
78,Romain Salin\Romain-Salin,fr FRA,GK,fr Rennes,35,1984,2.0,1,0,0,1,0,0.7,0.24,-0.3,-0.14,16,43,37.2,72,7,51.4,43.6,9,66.7,52.3,15,2,13.3,1,0.50,12.1,Matches
79,Alexander Schlager\Alexander-Schlager,at AUT,GK,at LASK,23,1996,10.0,12,2,0,1,0,12.3,0.32,+0.3,+0.03,102,254,40.2,251,27,74.9,50.6,89,74.2,55.2,49,2,4.1,9,0.90,16.3,Matches
80,João Miguel Macedo Silva\Joao-Miguel-Macedo-Silva,pt POR,GK,pt Vitória,24,1995,4.0,8,0,2,3,1,7.1,0.42,+0.1,+0.03,30,92,32.6,117,16,59.0,44.1,29,79.3,59.4,30,3,10.0,11,2.75,18.5,Matches
81,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,30,1988,6.0,9,0,0,2,0,7.2,0.29,-1.8,-0.30,57,113,50.4,262,26,36.6,34.2,50,34.0,35.4,37,2,5.4,5,0.83,14.7,Matches
82,David Soria\David-Soria,es ESP,GK,es Getafe,26,1993,4.0,4,0,0,0,1,2.2,0.28,-0.8,-0.19,40,111,36.0,92,5,90.2,59.9,30,93.3,58.9,23,5,21.7,4,1.00,16.0,Matches
83,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,26,1992,2.0,6,0,0,0,0,3.5,0.23,-2.5,-1.27,9,22,40.9,54,10,33.3,32.1,16,25.0,31.1,17,1,5.9,6,3.00,22.1,Matches
84,Vladimir Stojković\Vladimir-Stojkovic,rs SRB,GK,rs Partizan,36,1983,5.8,9,1,0,0,0,5.5,0.26,-3.5,-0.60,40,109,36.7,141,16,53.9,42.1,40,82.5,58.7,32,1,3.1,9,1.56,17.2,Matches
85,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,24,1995,4.0,7,1,0,1,0,3.7,0.34,-3.3,-0.83,26,66,39.4,111,15,46.8,38.7,33,42.4,41.0,35,2,5.7,2,0.50,12.8,Matches
86,Kevin Trapp\Kevin-Trapp,de GER,GK,de Eint Frankfurt,29,1990,5.0,10,1,1,1,0,10.2,0.36,+0.2,+0.04,41,110,37.3,135,18,56.3,43.0,54,63.0,47.9,30,1,3.3,2,0.40,14.3,Matches
87,Lars Unnerstall\Lars-Unnerstall,de GER,GK,nl PSV Eindhoven,29,1990,2.0,5,1,0,1,0,2.8,0.21,-2.2,-1.08,11,19,57.9,45,7,37.8,34.2,12,16.7,27.0,11,0,0.0,1,0.50,13.7,Matches
88,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,es Sevilla,30,1989,2.0,1,1,0,0,0,1.1,0.24,+0.1,+0.03,13,23,56.5,32,1,40.6,35.4,13,76.9,50.9,13,2,15.4,0,0.00,9.0,Matches
89,Bruno Varela\Bruno-Varela,pt POR,GK,nl Ajax,24,1994,1.0,2,0,0,0,0,1.0,0.24,-1.0,-1.03,9,18,50.0,36,9,33.3,33.7,8,75.0,56.4,11,2,18.2,0,0.00,14.3,Matches
90,Kenneth Vermeer\Kenneth-Vermeer,nl NED,GK,nl Feyenoord,33,1986,4.0,4,2,0,0,0,4.3,0.21,+0.3,+0.07,22,65,33.8,63,9,52.4,43.3,50,64.0,50.3,36,2,5.6,0,0.00,12.9,Matches
91,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,25,1994,2.0,5,0,0,1,1,3.6,0.26,-0.4,-0.21,9,18,50.0,37,9,43.2,37.4,12,16.7,29.3,3,0,0.0,0,0.00,13.3,Matches
92,Boy Waterman\Boy-Waterman,nl NED,GK,cy APOEL,35,1984,1.0,1,1,0,0,0,1.3,0.07,+0.3,+0.26,5,18,27.8,27,4,40.7,35.1,8,87.5,63.3,6,1,16.7,0,0.00,16.0,Matches
93,Utku Yuvakuran\Utku-Yuvakuran,tr TUR,GK,tr Beşiktaş,21,1997,1.0,4,0,0,1,0,3.0,0.47,-1.0,-0.97,12,25,48.0,28,3,64.3,46.1,7,100.0,67.1,12,0,0.0,0,0.00,10.9,Matches
94,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,nl PSV Eindhoven,28,1991,3.0,6,1,0,0,0,4.5,0.22,-1.5,-0.51,23,68,33.8,92,20,53.3,41.2,34,55.9,47.2,32,2,6.3,1,0.33,14.0,Matches
95,Arild Østbø\Arild-Ostbo,no NOR,GK,no Rosenborg,28,1991,1.0,1,0,0,0,0,0.7,0.37,-0.3,-0.26,12,44,27.3,38,3,89.5,61.1,10,100.0,67.7,11,0,0.0,0,0.00,15.4,Matches
