 ,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
12,Andreas Christodoulou\Andreas-Christodoulou,cy CYP,GK,cy AÉK Lárnaka,21,1997,1.0,5,1,0,1,0,2.4,0.22,-2.6,-2.58,9,18,50.0,33,3,39.4,36.6,6,83.3,55.7,6,0,0.0,1,1.00,15.9,Matches
13,Martin Chudý\Martin-Chudy,sk SVK,GK,sk Spartak Trnava,29,1989,6.0,7,0,0,1,0,4.8,0.36,+0.8,+0.16,52,159,32.7,124,8,83.1,58.9,61,91.8,65.7,66,8,12.1,3,0.60,14.6,Matches
14,Benoît Costil\Benoit-Costil,fr FRA,GK,fr Bordeaux,31,1987,6.0,6,0,0,1,0,5.8,0.29,-0.2,-0.04,50,122,41.0,147,20,56.5,46.4,48,81.3,59.1,52,2,3.8,2,0.33,14.1,Matches
15,Johan Dahlin\Johan-Dahlin,se SWE,GK,se Malmö,31,1986,8.0,11,0,1,0,0,13.2,0.36,+2.2,+0.28,73,205,35.6,190,13,80.0,55.7,61,86.9,64.6,68,4,5.9,0,0.00,11.8,Matches
16,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,fr Rennes,26,1992,3.0,4,0,0,1,0,2.8,0.46,-1.2,-0.41,6,16,37.5,50,12,16.0,27.3,13,61.5,47.7,16,0,0.0,1,0.33,14.4,Matches
17,Thomas Didillon\Thomas-Didillon,fr FRA,GK,be Anderlecht,22,1995,5.0,7,1,0,1,0,6.8,0.25,-0.2,-0.03,31,61,50.8,105,24,39.0,36.8,38,52.6,46.3,29,5,17.2,1,0.20,14.5,Matches
18,Renan dos Santos\Renan-dos-Santos,br BRA,GK,bg Ludogorets,29,1989,5.0,6,1,0,1,0,5.0,0.20,-1.0,-0.21,36,87,41.4,119,29,41.2,39.3,56,67.9,52.5,48,4,8.3,3,0.60,14.3,Matches
19,Nenad Erić\Nenad-Eric,kz KAZ,GK,kz Astana FK,36,1982,6.0,7,0,0,0,1,6.6,0.26,+0.6,+0.11,58,159,36.5,144,13,75.7,53.0,61,82.0,61.9,70,9,12.9,3,0.50,15.6,Matches
20,Florian Escales\Florian-Escales,fr FRA,GK,fr Marseille,22,1996,1.0,3,1,0,0,0,1.7,0.36,-1.3,-1.30,5,10,50.0,24,7,33.3,33.3,6,33.3,45.5,8,0,0.0,0,0.00,14.0,Matches
21,Andrés Fernández\Andres-Fernandez,es ESP,GK,es Villarreal,31,1986,12.0,13,1,1,0,0,14.8,0.38,+1.8,+0.15,56,137,40.9,190,43,37.9,37.0,104,62.5,48.0,92,3,3.3,9,0.75,15.5,Matches
22,Joe Frising\Joe-Frising,lu LUX,GK,lu F91 Dudelange,24,1994,2.0,4,0,0,1,0,4.0,0.37,0.0,+0.01,13,41,31.7,48,12,43.8,38.1,31,64.5,46.8,30,4,13.3,1,0.50,12.6,Matches
23,Andreas Gianniotis\Andreas-Gianniotis,gr GRE,GK,gr Olympiacos,25,1992,1.0,0,0,0,0,0,0.9,0.24,+0.9,+0.94,10,24,41.7,21,7,47.6,43.1,15,93.3,64.8,16,4,25.0,0,0.00,16.0,Matches
24,Craig Gordon\Craig-Gordon,sco SCO,GK,sco Celtic,35,1982,6.0,8,1,0,0,0,8.3,0.38,+0.3,+0.04,51,116,44.0,173,37,52.0,39.2,52,50.0,43.8,53,6,11.3,4,0.67,14.9,Matches
25,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,34,1984,4.0,1,0,0,0,0,3.9,0.24,+2.9,+0.71,33,60,55.0,124,34,35.5,33.4,29,55.2,43.3,42,4,9.5,3,0.75,13.1,Matches
26,André Hansen\Andre-Hansen,no NOR,GK,no Rosenborg,28,1989,6.0,14,1,0,3,1,14.0,0.26,+1.0,+0.17,70,180,38.9,195,21,58.5,45.6,71,93.0,64.6,63,5,7.9,2,0.33,12.9,Matches
27,Ethan Horvath\Ethan-Horvath,us USA,GK,be Club Brugge,23,1995,2.0,5,0,0,0,0,3.7,0.26,-1.3,-0.66,8,32,25.0,61,7,45.9,38.0,8,50.0,42.6,3,1,33.3,1,0.50,15.9,Matches
28,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,de Leverkusen,28,1989,6.0,8,0,2,1,0,7.2,0.33,-0.8,-0.14,49,74,66.2,201,31,30.3,31.6,41,31.7,37.7,28,3,10.7,5,0.83,15.6,Matches
29,Vlastimil Hrubý\Vlastimil-Hruby,cz CZE,GK,cz Jablonec,33,1985,6.0,8,1,0,2,0,6.3,0.23,-1.7,-0.29,31,128,24.2,142,19,62.0,47.6,53,75.5,57.2,51,6,11.8,3,0.50,15.6,Matches
30,Nordin Jackers\Nordin-Jackers,be BEL,GK,be Genk,20,1997,0.4,2,0,0,1,0,1.1,0.38,-0.9,-2.44,2,5,40.0,7,2,42.9,30.1,4,50.0,49.5,5,0,0.0,0,0.00,11.0,Matches
31,Jesse Joronen\Jesse-Joronen,fi FIN,GK,dk FC Copenhagen,25,1993,1.0,1,0,0,0,0,0.8,0.41,-0.2,-0.19,12,31,38.7,35,7,65.7,51.0,8,100.0,68.9,13,2,15.4,1,1.00,15.2,Matches
32,Loris Karius\Loris-Karius,de GER,GK,tr Beşiktaş,25,1993,5.0,10,1,0,1,2,9.0,0.36,+1.0,+0.19,39,106,36.8,124,23,58.9,45.1,42,78.6,60.8,34,0,0.0,7,1.40,17.5,Matches
33,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,31,1987,1.3,2,0,0,1,0,1.6,0.32,-0.4,-0.31,5,18,27.8,31,8,32.3,33.2,10,80.0,51.2,9,1,11.1,1,0.78,17.0,Matches
34,Thorsten Kirschbaum\Thorsten-Kirschbaum,de GER,GK,de Leverkusen,31,1987,1.0,1,0,0,0,0,1.1,0.27,+0.1,+0.08,6,12,50.0,35,4,34.3,33.0,3,0.0,25.0,5,0,0.0,1,1.00,18.3,Matches
35,Anastasios Kissas\Anastasios-Kissas,cy CYP,GK,cy Apollon,30,1988,1.0,3,0,0,0,0,0.8,0.27,-2.2,-2.19,1,9,11.1,18,2,22.2,25.3,9,55.6,50.3,13,1,7.7,0,0.00,21.0,Matches
36,Ondřej Kolář\Ondrej-Kolar,cz CZE,GK,cz Slavia Prague,23,1994,12.3,14,1,0,2,1,12.9,0.36,-0.1,-0.01,125,240,52.1,352,61,50.3,41.3,86,73.3,54.8,88,2,2.3,16,1.30,16.8,Matches
37,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,fr Rennes,25,1992,7.0,12,0,1,2,0,11.6,0.32,-0.4,-0.06,48,163,29.4,161,13,66.5,50.2,60,93.3,65.6,54,4,7.4,6,0.86,17.3,Matches
38,Ádám Kovácsik\Adam-Kovacsik,hu HUN,GK,hu Vidi,27,1991,4.0,4,0,2,1,0,3.0,0.30,-1.0,-0.25,29,106,27.4,86,9,79.1,53.0,46,82.6,59.3,32,3,9.4,3,0.75,15.4,Matches
39,Matúš Kozáčik\Matus-Kozacik,sk SVK,GK,cz Viktoria Plzeň,34,1983,2.0,4,0,0,0,0,3.4,0.31,-0.6,-0.32,16,35,45.7,59,18,37.3,33.3,18,72.2,47.6,19,0,0.0,1,0.50,14.2,Matches
40,Stanislav Kritsyuk\Stanislav-Kritsyuk,ru RUS,GK,ru Krasnodar,27,1990,4.0,4,1,0,0,1,3.7,0.22,+0.7,+0.18,30,87,34.5,104,19,57.7,45.3,30,90.0,62.0,41,2,4.9,3,0.75,16.6,Matches
41,Bernd Leno\Bernd-Leno,de GER,GK,eng Arsenal,26,1992,3.0,2,0,0,0,0,1.8,0.26,-0.2,-0.06,19,41,46.3,77,11,33.8,32.9,30,50.0,42.6,21,2,9.5,5,1.67,15.9,Matches
42,Dominik Livaković\Dominik-Livakovic,hr CRO,GK,hr Dinamo Zagreb,23,1995,10.3,8,0,0,3,0,7.2,0.25,+0.2,+0.02,91,255,35.7,201,17,83.1,59.0,89,98.9,72.6,90,8,8.9,2,0.21,12.7,Matches
43,Pau López\Pau-Lopez,es ESP,GK,es Betis,23,1994,2.0,2,0,1,0,0,1.8,0.30,-0.2,-0.10,7,17,41.2,57,10,24.6,29.5,11,27.3,35.2,15,1,6.7,1,0.50,12.7,Matches
44,Milan Lukač\Milan-Lukac,rs SRB,GK,tr Akhisarspor,32,1985,4.0,11,2,0,1,1,8.0,0.31,-2.0,-0.50,28,82,34.1,84,16,57.1,42.7,38,89.5,60.3,41,5,12.2,1,0.25,14.0,Matches
45,Andrey Lunyov\Andrey-Lunyov,ru RUS,GK,ru Zenit,26,1991,8.7,10,1,0,2,0,9.8,0.19,-0.2,-0.02,60,158,38.0,258,54,45.7,40.3,82,48.8,44.6,85,12,14.1,3,0.34,15.2,Matches
46,Aleksandr Maksimenko\Aleksandr-Maksimenko,ru RUS,GK,ru Spartak Moscow,20,1998,5.0,10,1,0,0,2,6.0,0.21,-2.0,-0.40,24,73,32.9,114,31,47.4,41.2,28,67.9,57.3,38,4,10.5,2,0.40,12.9,Matches
47,Steve Mandanda\Steve-Mandanda,fr FRA,GK,fr Marseille,33,1985,1.0,3,0,0,1,0,1.4,0.35,-1.6,-1.60,5,7,71.4,26,6,19.2,26.7,4,50.0,41.0,4,0,0.0,1,1.00,14.3,Matches
48,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,eng Arsenal,25,1992,1.0,0,0,0,0,0,0.0,,0.0,0.00,3,3,100.0,17,4,11.8,26.7,3,33.3,35.0,3,0,0.0,0,0.00,11.3,Matches
49,Allan McGregor\Allan-McGregor,sco SCO,GK,sco Rangers,36,1982,6.0,8,0,0,0,1,5.9,0.29,-1.1,-0.19,49,125,39.2,128,18,64.1,47.5,56,76.8,61.7,47,2,4.3,4,0.67,16.7,Matches
50,Alex Meret\Alex-Meret,it ITA,GK,it Napoli,21,1997,6.0,7,1,1,0,1,7.8,0.28,+1.8,+0.29,14,61,23.0,144,22,24.3,30.7,46,56.5,45.8,41,6,14.6,1,0.17,11.4,Matches
51,Fernando Muslera\Fernando-Muslera,uy URU,GK,tr Galatasaray,32,1986,2.0,2,1,0,0,0,2.6,0.22,+0.6,+0.31,12,44,27.3,69,11,49.3,41.1,20,50.0,47.6,14,2,14.3,1,0.50,15.1,Matches
52,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,24,1994,6.0,8,0,0,0,0,6.8,0.34,-1.2,-0.20,44,107,41.1,141,18,55.3,41.5,34,85.3,59.2,32,6,18.8,9,1.50,17.7,Matches
53,Neto\Neto,br BRA,GK,es Valencia,29,1989,8.0,10,1,0,0,0,7.6,0.25,-2.4,-0.30,41,109,37.6,119,34,39.5,36.2,71,87.3,61.7,74,6,8.1,2,0.25,14.1,Matches
54,Guillermo Ochoa\Guillermo-Ochoa,mx MEX,GK,be Standard Liège,33,1985,6.0,9,1,1,1,0,10.9,0.35,+1.9,+0.32,59,130,45.4,144,24,52.1,42.2,67,82.1,54.2,43,3,7.0,2,0.33,11.6,Matches
55,Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,de Leverkusen,34,1984,1.0,1,0,0,0,0,0.4,0.20,-0.6,-0.64,4,6,66.7,23,3,13.0,26.8,5,60.0,37.2,1,0,0.0,1,1.00,20.3,Matches
56,Fatih Öztürk\Fatih-Ozturk,tr TUR,GK,tr Akhisarspor,31,1986,2.0,3,0,0,1,0,1.4,0.28,-1.6,-0.80,21,52,40.4,64,11,59.4,47.3,18,77.8,63.4,17,0,0.0,1,0.50,15.1,Matches
57,Alexandros Paschalakis\Alexandros-Paschalakis,gr GRE,GK,gr PAOK,29,1989,6.0,12,1,0,1,1,7.6,0.28,-3.4,-0.57,23,60,38.3,93,22,37.6,36.2,50,50.0,47.0,48,3,6.3,9,1.50,20.0,Matches
58,Yohann Pelé\Yohann-Pele,fr FRA,GK,fr Marseille,35,1982,4.0,10,0,0,2,2,6.2,0.36,-1.8,-0.45,20,50,40.0,96,20,31.3,32.7,30,66.7,52.7,20,1,5.0,3,0.75,13.5,Matches
59,Silvio Proto\Silvio-Proto,be BEL,GK,it Lazio,35,1983,4.0,9,0,0,4,0,6.5,0.43,-2.5,-0.62,15,36,41.7,102,26,24.5,30.6,26,42.3,38.9,35,2,5.7,3,0.75,14.7,Matches
60,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,34,1984,2.0,6,1,0,0,0,4.5,0.40,-1.5,-0.77,17,37,45.9,50,11,36.0,34.7,24,79.2,55.2,21,2,9.5,4,2.00,16.1,Matches
61,Toño Ramírez\Tono-Ramirez,es ESP,GK,cy AÉK Lárnaka,31,1986,5.0,7,1,1,0,0,7.6,0.27,+0.6,+0.12,49,116,42.2,143,27,53.8,43.8,46,84.8,59.7,50,9,18.0,0,0.00,12.6,Matches
62,Artyom Rebrov\Artyom-Rebrov,ru RUS,GK,ru Spartak Moscow,34,1984,1.0,2,0,0,1,0,1.8,0.36,-0.2,-0.19,9,17,52.9,29,5,48.3,37.2,8,37.5,35.8,4,1,25.0,0,0.00,13.3,Matches
63,Pepe Reina\Pepe-Reina,es ESP,GK,it Milan,35,1982,6.0,9,1,0,2,1,6.5,0.32,-1.5,-0.25,33,64,51.6,146,31,30.8,34.3,40,47.5,43.8,36,4,11.1,10,1.67,18.6,Matches
64,Renan Ribeiro\Renan-Ribeiro,br BRA,GK,pt Sporting CP,28,1990,3.0,2,0,0,0,0,3.4,0.28,+1.4,+0.46,19,58,32.8,76,10,48.7,42.1,31,67.7,51.5,35,2,5.7,4,1.33,17.6,Matches
65,Joel Robles\Joel-Robles,es ESP,GK,es Betis,28,1990,6.0,6,1,0,1,1,7.3,0.29,+2.3,+0.38,21,48,43.8,134,19,27.6,30.9,24,45.8,41.5,19,3,15.8,7,1.17,19.1,Matches
66,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,de Eint Frankfurt,25,1992,2.0,1,0,0,0,0,1.8,0.29,+0.8,+0.38,30,56,53.6,69,9,66.7,45.7,10,100.0,71.2,11,1,9.1,1,0.50,14.5,Matches
67,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,25,1993,7.0,9,0,0,1,0,10.2,0.29,+1.2,+0.18,32,99,32.3,130,28,47.7,41.4,54,68.5,56.7,75,8,10.7,8,1.14,17.2,Matches
68,Matvei Safonov\Matvei-Safonov,ru RUS,GK,ru Krasnodar,19,1999,5.0,6,0,0,2,0,7.0,0.35,+1.0,+0.19,23,67,34.3,120,33,35.0,32.2,37,67.6,48.8,43,0,0.0,7,1.40,16.2,Matches
69,Romain Salin\Romain-Salin,fr FRA,GK,pt Sporting CP,34,1984,5.0,3,0,0,0,0,4.4,0.27,+1.4,+0.28,37,81,45.7,123,20,44.7,40.7,37,70.3,55.6,26,4,15.4,6,1.20,19.0,Matches
70,Denis Scherbitskiy\Denis-Scherbitskiy,by BLR,GK,by BATE Borisov,22,1996,8.0,12,0,0,3,1,11.9,0.31,+0.9,+0.11,69,185,37.3,140,9,66.4,49.8,95,96.8,68.3,107,9,8.4,1,0.13,12.0,Matches
71,Bohdan Shust\Bohdan-Shust,ua UKR,GK,ua Vorskla Poltava,32,1986,5.0,10,2,0,0,0,9.9,0.38,-0.1,-0.01,55,127,43.3,115,16,63.5,46.3,55,98.2,65.3,27,0,0.0,2,0.40,14.4,Matches
72,Vagner da Silva\Vagner-da-Silva,br BRA,GK,az Qarabağ Ağdam,32,1986,4.0,7,0,0,1,0,4.5,0.37,-2.5,-0.63,25,55,45.5,75,11,40.0,36.8,32,78.1,58.3,28,2,7.1,1,0.25,13.7,Matches
73,Andrei Sinitsyn\Andrei-Sinitsyn,ru RUS,GK,ru Krasnodar,30,1988,1.0,2,0,0,1,0,1.0,0.20,-1.0,-1.01,7,11,63.6,21,7,38.1,32.7,5,60.0,49.8,8,2,25.0,0,0.00,10.3,Matches
74,Juan Soriano\Juan-Soriano,es ESP,GK,es Sevilla,20,1997,0.5,0,0,0,0,0,0.0,,0.0,0.00,0,9,0.0,12,2,50.0,40.9,6,50.0,48.7,1,1,100.0,0,0.00,18.5,Matches
75,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,23,1995,4.0,5,0,1,0,0,4.5,0.31,-0.5,-0.11,15,50,30.0,87,18,36.8,35.1,31,58.1,46.7,50,1,2.0,6,1.50,18.0,Matches
76,Richard Strebinger\Richard-Strebinger,at AUT,GK,at Rapid Wien,25,1993,8.0,14,2,0,0,1,10.9,0.32,-2.1,-0.26,47,149,31.5,179,29,50.8,41.4,74,78.4,59.0,78,13,16.7,4,0.50,12.6,Matches
77,Harun Tekin\Harun-Tekin,tr TUR,GK,tr Fenerbahçe,29,1989,8.0,10,0,0,2,0,9.7,0.33,-0.3,-0.04,63,146,43.2,166,33,54.2,41.0,71,78.9,57.1,54,5,9.3,5,0.63,14.3,Matches
78,Oleksandr Tkachenko\Oleksandr-Tkachenko,ua UKR,GK,ua Vorskla Poltava,25,1993,1.0,3,0,0,0,1,2.6,0.29,+0.6,+0.57,11,31,35.5,29,2,65.5,50.5,13,92.3,63.4,6,0,0.0,1,1.00,16.0,Matches
79,Kevin Trapp\Kevin-Trapp,de GER,GK,de Eint Frankfurt,28,1990,12.3,13,3,0,2,0,16.7,0.25,-0.3,-0.02,139,298,46.6,360,31,63.1,46.7,85,83.5,62.3,91,11,12.1,7,0.57,16.3,Matches
80,Tomáš Tujvel\Tomas-Tujvel,sk SVK,GK,hu Vidi,34,1983,2.0,3,0,0,0,0,2.0,0.22,-1.0,-0.50,21,46,45.7,46,9,63.0,50.3,20,85.0,63.1,11,0,0.0,0,0.00,10.8,Matches
81,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,es Sevilla,29,1989,9.8,12,1,0,3,1,10.4,0.31,-0.6,-0.06,52,156,33.3,226,54,40.7,37.8,86,74.4,59.6,84,8,9.5,5,0.51,14.3,Matches
82,Bruno Vale\Bruno-Vale,pt POR,GK,cy Apollon,35,1983,5.0,7,1,0,1,0,5.3,0.24,-1.7,-0.35,30,74,40.5,159,38,32.1,32.0,41,56.1,44.7,43,3,7.0,1,0.20,13.7,Matches
83,Andris Vaņins\Andris-Vanins,lv LVA,GK,ch Zürich,38,1980,1.0,1,0,0,0,0,1.6,0.27,+0.6,+0.59,10,28,35.7,44,5,47.7,36.5,11,63.6,48.2,10,1,10.0,3,3.00,18.7,Matches
84,Aleksandr Vasyutin\Aleksandr-Vasyutin,ru RUS,GK,no Sarpsborg 08,23,1995,6.0,13,0,0,3,0,9.5,0.31,-3.5,-0.59,60,174,34.5,141,9,84.4,59.7,57,96.5,71.4,69,8,11.6,7,1.17,16.8,Matches
85,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,24,1994,6.3,6,1,0,1,0,6.1,0.29,+0.1,+0.02,38,91,41.8,136,35,41.2,39.2,57,61.4,49.7,50,5,10.0,3,0.47,14.6,Matches
86,Danny Vukovic\Danny-Vukovic,au AUS,GK,be Genk,33,1985,7.6,10,0,0,1,0,9.4,0.31,-0.6,-0.08,42,159,26.4,244,31,45.1,38.7,75,65.3,53.1,67,4,6.0,6,0.78,17.1,Matches
87,Alexander Walke\Alexander-Walke,de GER,GK,at RB Salzburg,35,1983,10.0,12,0,0,2,1,8.9,0.24,-2.1,-0.21,60,147,40.8,267,29,42.7,40.3,53,62.3,51.0,68,7,10.3,8,0.80,14.3,Matches
88,Tolga Zengin\Tolga-Zengin,tr TUR,GK,tr Beşiktaş,34,1983,1.0,1,0,0,0,0,0.4,0.08,-0.6,-0.61,8,23,34.8,20,4,60.0,43.8,11,100.0,61.7,15,0,0.0,2,2.00,16.7,Matches
89,Hannes Þór Halldórsson\Hannes-Thor-Halldorsson,is ISL,GK,az Qarabağ Ağdam,34,1984,2.0,6,1,0,0,0,3.0,0.24,-3.0,-1.51,13,33,39.4,39,4,64.1,45.7,9,88.9,60.0,18,1,5.6,0,0.00,13.2,Matches

