,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
28,Rui Patrício\Rui-Patricio,pt POR,GK,pt Sporting CP,29,1988,6,6,540,6.0,9,1.50,28,19,67.9,2,1,3,0,0.0,0,0,0,0,,Matches
29,Nauzet Pérez\Nauzet-Perez,es ESP,GK,cy APOEL FC,32,1985,3,3,270,3.0,10,3.33,19,9,47.4,0,1,2,0,0.0,0,0,0,0,,Matches
30,Silvio Proto\Silvio-Proto,be BEL,GK,gr Olympiacos,34,1983,5,5,450,5.0,10,2.00,24,14,58.3,0,1,4,1,20.0,0,0,0,0,,Matches
31,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,33,1984,8,8,720,8.0,11,1.37,45,34,80.0,5,0,3,0,0.0,3,2,1,0,33.3,Matches
32,Artyom Rebrov\Artyom-Rebrov,ru RUS,GK,ru Spartak Moscow,33,1984,2,2,158,1.8,2,1.14,12,10,83.3,0,2,0,0,0.0,0,0,0,0,,Matches
33,Pepe Reina\Pepe-Reina,es ESP,GK,it Napoli,34,1982,6,6,540,6.0,11,1.83,30,19,63.3,2,0,4,1,16.7,1,0,1,0,100.0,Matches
34,Sergio Rico\Sergio-Rico,es ESP,GK,es Sevilla,23,1993,8,8,720,8.0,13,1.62,34,21,61.8,3,4,1,2,25.0,1,0,0,1,,Matches
35,Sergio Romero\Sergio-Romero,ar ARG,GK,eng Manchester Utd,30,1987,2,2,180,2.0,2,1.00,7,5,71.4,1,0,1,0,0.0,0,0,0,0,,Matches
36,José Sá\Jose-Sa,pt POR,GK,pt Porto,24,1993,5,5,450,5.0,12,2.40,25,13,56.0,2,1,2,0,0.0,1,1,0,0,0.0,Matches
37,Ibrahim Šehić\Ibrahim-Sehic,ba BIH,GK,az Qarabağ FK,28,1988,6,6,540,6.0,14,2.33,47,33,74.5,0,2,4,1,16.7,2,2,0,0,0.0,Matches
38,Aleksandr Selikhov\Aleksandr-Selikhov,ru RUS,GK,ru Spartak Moscow,23,1994,5,4,382,4.2,11,2.59,25,14,60.0,1,1,2,0,0.0,1,1,0,0,0.0,Matches
39,Matz Sels\Matz-Sels,be BEL,GK,be Anderlecht,25,1992,3,3,270,3.0,9,3.00,14,5,42.9,0,0,3,0,0.0,1,1,0,0,0.0,Matches
40,David Soria\David-Soria,es ESP,GK,es Sevilla,24,1993,2,2,180,2.0,2,1.00,10,8,80.0,0,1,1,1,50.0,0,0,0,0,,Matches
41,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,32,1984,3,3,270,3.0,7,2.33,11,4,54.5,0,1,2,0,0.0,2,2,0,0,0.0,Matches
42,Mile Svilar\Mile-Svilar,be BEL,GK,pt Benfica,17,1999,3,3,270,3.0,5,1.67,13,8,69.2,0,0,3,0,0.0,2,1,1,0,50.0,Matches
43,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,27,1990,2,1,90,1.0,0,0.00,4,4,125.0,1,0,0,1,100.0,1,1,0,0,0.0,Matches
44,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,25,1992,9,9,810,9.0,6,0.67,22,16,77.3,5,3,1,5,55.6,1,1,0,0,0.0,Matches
45,Sven Ulreich\Sven-Ulreich,de GER,GK,de Bayern Munich,28,1988,11,11,990,11.0,12,1.09,41,29,70.7,7,2,2,3,27.3,0,0,0,0,,Matches
46,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,ch Basel,28,1989,8,8,720,8.0,10,1.25,27,17,63.0,5,0,3,4,50.0,0,0,0,0,,Matches
47,Bruno Varela\Bruno-Varela,pt POR,GK,pt Benfica,22,1994,2,2,180,2.0,4,2.00,10,6,70.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches
48,Kenneth Vermeer\Kenneth-Vermeer,nl NED,GK,nl Feyenoord,31,1986,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
49,Michel Vorm\Michel-Vorm,nl NED,GK,eng Tottenham,33,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
50,Boy Waterman\Boy-Waterman,nl NED,GK,cy APOEL FC,33,1984,3,3,225,2.5,6,2.40,11,5,54.5,0,1,2,0,0.0,1,1,0,0,0.0,Matches

