,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
23,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,28,1990,5,397,79,55.1,4.4,5,79,3,0,,0,1.40,4,8,-4,-0.91,-0.91,6.5,5.2,+1.3,+0.30,-0.42,Matches
24,Altube\Altube,es ESP,GK,es Real Madrid,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
25,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,26,1993,5,286,57,53.0,3.2,3,90,3,2,8,0,0.40,2,6,-4,-1.26,+0.16,4.2,3.8,+0.4,+0.12,+0.78,Matches
26,Edson Álvarez\Edson-Alvarez,mx MEX,MF,nl Ajax,21,1997,6,377,63,69.8,4.2,4,78,2,2,32,0,1.86,7,3,+4,+0.95,-0.15,4.8,7.4,-2.6,-0.62,+0.41,Matches
27,Nadiem Amiri\Nadiem-Amiri,de GER,FWMF,de Leverkusen,22,1996,4,238,60,44.1,2.6,2,87,1,2,33,0,0.75,2,3,-1,-0.38,+0.52,2.2,2.8,-0.6,-0.23,+0.22,Matches
28,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,de RB Leipzig,18,2000,3,181,60,20.1,2.0,2,73,1,1,36,1,1.67,1,2,-1,-0.50,-1.12,4.5,1.6,+2.9,+1.45,+1.20,Matches
29,Joachim Andersen\Joachim-Andersen,dk DEN,DF,fr Lyon,23,1996,6,392,65,43.6,4.4,4,88,3,2,20,4,1.67,7,4,+3,+0.69,+1.22,3.9,7.2,-3.3,-0.76,-0.30,Matches
30,Florin Andone\Florin-Andone,ro ROU,FW,tr Galatasaray,26,1993,3,162,54,30.0,1.8,2,68,1,1,27,1,0.00,0,5,-5,-2.78,-0.87,1.0,5.4,-4.4,-2.45,-0.43,Matches
31,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Lille,28,1990,5,403,81,74.6,4.5,5,81,2,0,,0,0.20,3,8,-5,-1.12,+2.17,6.1,6.0,+0.1,+0.03,+1.60,Matches
32,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,gr Olympiacos,29,1990,6,316,53,58.5,3.5,3,89,2,3,16,0,1.55,4,7,-3,-0.85,+0.35,4.5,5.4,-0.8,-0.24,+0.68,Matches
33,Angeliño\Angelino,es ESP,DF,de RB Leipzig,22,1997,4,360,90,40.0,4.0,4,90,4,0,,0,2.25,6,4,+2,+0.50,+0.17,4.1,5.0,-0.9,-0.23,-1.19,Matches
34,Angeliño\Angelino,es ESP,DF,eng Manchester City,22,1997,1,90,90,11.1,1.0,1,90,1,0,,3,1.00,1,1,0,0.00,-1.50,1.3,0.6,+0.6,+0.63,-1.25,Matches
35,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,19,2000,3,28,9,5.2,0.3,0,,0,3,9,3,0.67,2,1,+1,+3.21,+4.27,1.0,0.5,+0.5,+1.71,+2.82,Matches
36,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,21,1998,8,711,89,79.0,7.9,8,89,4,0,,1,1.63,13,11,+2,+0.25,+1.21,8.2,14.5,-6.4,-0.81,-1.01,Matches
37,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,6,278,46,51.5,3.1,3,88,1,3,5,0,1.44,5,9,-4,-1.29,-0.61,4.8,6.5,-1.6,-0.53,-0.02,Matches
38,Guilherme Arana\Guilherme-Arana,br BRA,DFMF,it Atalanta,22,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
39,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,30,1989,5,413,83,76.5,4.6,5,83,3,0,,0,1.20,5,6,-1,-0.22,+1.91,4.2,5.3,-1.1,-0.25,+0.43,Matches
40,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,fr Lille,23,1996,6,277,46,51.3,3.1,3,73,0,3,19,0,0.17,2,7,-5,-1.62,+0.09,2.8,4.3,-1.5,-0.49,-0.22,Matches
41,Ronald Araújo\Ronald-Araujo,uy URU,DF,es Barcelona,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
42,Alphonse Areola\Alphonse-Areola,fr FRA,GK,es Real Madrid,26,1993,2,135,68,18.8,1.5,1,90,1,1,45,6,2.00,5,1,+4,+2.67,+2.67,2.4,1.8,+0.6,+0.41,-0.06,Matches
43,Santiago Arias\Santiago-Arias,co COL,DF,es Atlético Madrid,27,1992,2,180,90,21.4,2.0,2,90,2,0,,5,1.50,3,2,+1,+0.50,+0.09,4.4,1.6,+2.8,+1.40,+0.99,Matches
44,Bright Arrey-Mbi\Bright-Arrey-Mbi,de GER,DF,de Bayern Munich,16,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
45,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,540,90,75.0,6.0,6,90,6,0,,2,1.83,11,9,+2,+0.33,+3.33,14.0,5.4,+8.6,+1.43,+3.75,Matches
46,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,30,1988,3,259,86,48.0,2.9,3,86,2,0,,0,1.33,3,3,0,0.00,-0.32,2.6,2.5,+0.1,+0.02,-0.03,Matches
47,Marco Asensio\Marco-Asensio,es ESP,FWMF,es Real Madrid,23,1996,1,30,30,4.2,0.3,0,,0,1,30,0,0.00,0,1,-1,-3.00,-3.65,0.2,0.7,-0.5,-1.40,-1.94,Matches
48,Majeed Ashimeru\Majeed-Ashimeru,gh GHA,MFFW,at RB Salzburg,21,1997,4,67,17,12.4,0.7,0,,0,4,17,2,0.25,1,1,0,0.00,-0.57,0.4,1.0,-0.6,-0.77,-1.06,Matches
49,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,1,7,7,1.3,0.1,0,,0,1,7,2,1.33,0,1,-1,-12.86,-12.52,0.0,0.6,-0.6,-7.78,-6.54,Matches
50,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,26,1992,5,449,90,62.4,5.0,5,90,4,0,,0,1.20,11,13,-2,-0.40,-1.07,8.3,6.6,+1.7,+0.34,+0.42,Matches
51,Brandon Austin\Brandon-Austin,eng ENG,GK,eng Tottenham,20,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
52,Sardar Azmoun\Sardar-Azmoun,ir IRN,FW,ru Zenit,24,1995,6,462,77,85.6,5.1,6,77,2,0,,0,1.17,6,7,-1,-0.19,+0.96,5.3,5.8,-0.5,-0.09,+1.79,Matches
53,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,eng Chelsea,29,1989,7,612,87,85.0,6.8,7,87,6,0,,0,1.57,11,11,0,0.00,+3.33,14.5,7.7,+6.8,+1.00,+3.34,Matches
54,Ryan Babel\Ryan-Babel,nl NED,FW,tr Galatasaray,32,1986,4,333,83,61.7,3.7,4,83,3,0,,0,0.25,0,8,-8,-2.16,+0.01,2.0,10.0,-8.0,-2.15,-0.02,Matches
55,Srđan Babić\Srdjan-Babic,rs SRB,DF,rs Red Star,23,1996,0,,,,,0,,0,0,,2,1.75,,,,,,,,,,,Matches
56,Leon Bailey\Leon-Bailey,jm JAM,FWMF,de Leverkusen,21,1997,3,115,38,21.3,1.3,2,45,0,1,25,0,1.00,2,4,-2,-1.57,-1.14,0.8,2.8,-2.0,-1.55,-1.52,Matches
57,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,fr Paris S-G,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
58,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,30,1989,3,116,39,16.1,1.3,1,78,0,2,19,1,0.33,1,6,-5,-3.88,-5.22,1.7,3.3,-1.6,-1.21,-1.98,Matches
59,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,de Dortmund,20,1999,1,8,8,1.1,0.1,0,,0,1,8,0,3.00,0,0,0,0.00,+0.13,0.0,0.3,-0.3,-3.21,-3.27,Matches
60,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,fr Lille,23,1996,6,282,47,52.2,3.1,3,84,2,3,10,0,0.17,3,8,-5,-1.60,+0.15,4.3,4.8,-0.5,-0.16,+0.46,Matches
61,Melvin Bard\Melvin-Bard,fr FRA,DF,fr Lyon,18,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
62,Nicolò Barella\Nicolo-Barella,it ITA,MF,it Inter,22,1997,4,290,73,53.7,3.2,3,90,3,1,20,0,1.00,6,5,+1,+0.31,+0.31,4.1,4.4,-0.2,-0.07,-0.24,Matches
63,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5,450,90,83.3,5.0,5,90,5,0,,0,0.60,4,9,-5,-1.00,+1.00,5.5,9.9,-4.4,-0.87,+1.77,Matches
64,Ross Barkley\Ross-Barkley,eng ENG,FWMF,eng Chelsea,25,1993,3,161,54,22.4,1.8,2,75,1,1,11,1,0.00,1,6,-5,-2.80,-2.96,2.3,5.0,-2.7,-1.51,-2.59,Matches
65,Wílmar Barrios\Wilmar-Barrios,co COL,MF,ru Zenit,25,1993,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,7,9,-2,-0.33,,6.0,8.1,-2.1,-0.35,,Matches
66,Musa Barrow\Musa-Barrow,gm GAM,FW,it Atalanta,20,1998,1,3,3,0.4,0.0,0,,0,1,3,4,0.00,0,0,0,0.00,+0.11,0.1,0.0,+0.1,+3.89,+3.89,Matches
67,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,it Inter,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
68,Lewis Bate\Lewis-Bate,eng ENG,MF,eng Chelsea,16,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
69,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,eng Chelsea,25,1993,4,88,22,12.2,1.0,0,,0,4,22,3,2.00,2,2,0,0.00,+0.57,3.2,2.4,+0.7,+0.74,+0.28,Matches
70,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,6,346,58,64.1,3.8,3,83,2,3,32,0,1.00,2,9,-7,-1.82,-3.21,3.0,5.2,-2.2,-0.58,-0.63,Matches
71,Emin Bayram\Emin-Bayram,tr TUR,DF,tr Galatasaray,16,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
72,Ömer Bayram\Omer-Bayram,tr TUR,FWMF,tr Galatasaray,28,1991,5,252,50,46.7,2.8,2,85,1,3,28,1,0.20,1,7,-6,-2.14,+0.04,1.2,7.9,-6.6,-2.37,-0.42,Matches
73,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,22,1997,5,447,89,82.8,5.0,5,89,4,0,,0,1.50,9,6,+3,+0.60,-2.30,5.2,9.7,-4.5,-0.91,-0.99,Matches
74,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,29,1990,4,303,76,56.1,3.4,4,76,1,0,,1,0.25,1,7,-6,-1.78,+0.88,1.8,9.6,-7.8,-2.32,-0.40,Matches
75,Raoul Bellanova\Raoul-Bellanova,it ITA,MF,it Atalanta,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
76,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,de Leverkusen,29,1990,5,411,82,76.1,4.6,5,82,3,0,,0,1.20,5,4,+1,+0.22,+3.71,4.1,4.2,-0.1,-0.03,+1.36,Matches
77,Lars Bender\Lars-Bender,de GER,DF,de Leverkusen,30,1989,4,271,68,50.2,3.0,3,90,3,1,1,0,0.75,1,5,-4,-1.33,-1.33,2.8,2.4,+0.4,+0.12,+0.95,Matches
78,Sven Bender\Sven-Bender,de GER,DF,de Leverkusen,30,1989,6,539,90,99.8,6.0,6,90,5,0,,0,1.00,5,9,-4,-0.67,-0.67,4.9,7.0,-2.2,-0.36,-6.24,Matches
79,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,it Juventus,22,1997,7,421,60,58.5,4.7,4,89,3,3,22,0,2.29,7,5,+2,+0.43,-1.38,7.2,5.1,+2.2,+0.46,+0.24,Matches
80,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,31,1987,8,644,81,89.4,7.2,7,90,7,1,14,0,1.38,14,11,+3,+0.42,-0.76,14.4,11.1,+3.4,+0.47,+0.11,Matches
81,Yassine Benzia\Yassine-Benzia,dz ALG,MF,gr Olympiacos,24,1994,3,79,26,14.6,0.9,1,56,0,2,12,2,1.33,1,0,+1,+1.14,+2.51,0.7,0.5,+0.2,+0.19,+0.83,Matches
82,Sander Berge\Sander-Berge,no NOR,MF,be Genk,21,1998,6,540,90,100.0,6.0,6,90,6,0,,0,0.17,5,20,-15,-2.50,,6.4,15.1,-8.7,-1.46,,Matches
83,Steven Bergwijn\Steven-Bergwijn,nl NED,MFFW,eng Tottenham,21,1997,1,90,90,12.5,1.0,1,90,1,0,,0,0.00,0,1,-1,-1.00,-1.14,0.8,1.9,-1.1,-1.10,-1.46,Matches
84,Adrian Bernabe\Adrian-Bernabe,es ESP,MF,eng Manchester City,18,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
85,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MF,it Juventus,25,1994,6,263,44,36.5,2.9,3,71,0,3,17,1,2.50,4,1,+3,+1.03,+0.04,3.8,2.2,+1.6,+0.53,+0.27,Matches
86,Juan Bernat\Juan-Bernat,es ESP,DF,fr Paris S-G,26,1993,10,873,87,88.2,9.7,10,87,8,0,,0,2.50,23,4,+19,+1.96,+1.96,21.0,9.4,+11.6,+1.20,-0.03,Matches
87,Antoine Bernede\Antoine-Bernede,fr FRA,MF,at RB Salzburg,20,1999,1,90,90,16.7,1.0,1,90,1,0,,0,3.00,6,2,+4,+4.00,+4.20,3.6,0.8,+2.8,+2.82,+3.20,Matches
88,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,it Inter,26,1992,4,219,55,40.6,2.4,3,69,0,1,11,1,1.50,5,4,+1,+0.41,+0.41,3.9,4.4,-0.5,-0.22,-0.44,Matches
89,Daley Blind\Daley-Blind,nl NED,DF,nl Ajax,29,1990,5,427,85,79.1,4.7,5,85,4,0,,0,1.67,10,4,+6,+1.26,+1.26,5.2,8.7,-3.5,-0.74,0.00,Matches
90,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,26,1993,5,190,38,35.2,2.1,1,90,1,4,25,0,1.23,3,10,-7,-3.32,-0.74,1.1,8.1,-7.0,-3.33,-1.70,Matches
91,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,30,1988,9,579,64,58.5,6.4,8,68,3,1,32,2,3.00,27,7,+20,+3.11,-0.18,21.0,8.0,+13.0,+2.03,+0.08,Matches
92,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,DF,ua Shakhtar,26,1993,3,244,81,45.2,2.7,3,81,1,0,,2,1.33,2,6,-4,-1.48,-1.17,2.5,6.6,-4.2,-1.54,-1.05,Matches
93,Valerii Bondar\Valerii-Bondar,ua UKR,DF,ua Shakhtar,20,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
94,Theo Bongonda\Theo-Bongonda,be BEL,MFFW,be Genk,23,1995,6,258,43,47.8,2.9,2,77,0,4,26,0,0.17,2,6,-4,-1.40,+2.12,3.9,6.6,-2.7,-0.93,+1.01,Matches
95,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,32,1987,7,630,90,87.5,7.0,7,90,7,0,,1,2.29,12,6,+6,+0.86,-1.14,10.4,7.9,+2.5,+0.36,-0.01,Matches
96,Neto Borges\Neto-Borges,br BRA,DF,be Genk,22,1996,1,9,9,1.7,0.1,0,,0,1,9,1,0.00,0,0,0,0.00,+2.54,0.1,0.0,+0.1,+1.49,+3.00,Matches
97,Jan Bořil\Jan-Boril,cz CZE,DF,cz Slavia Prague,28,1991,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,4,10,-6,-1.00,,7.7,11.4,-3.7,-0.62,,Matches
98,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,31,1987,6,540,90,100.0,6.0,6,90,6,0,,0,1.14,3,20,-17,-2.83,,4.0,17.4,-13.3,-2.22,,Matches
99,Dennis Borkowski\Dennis-Borkowski,de GER,FW,de RB Leipzig,17,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
100,Andreas Bouchalakis\Andreas-Bouchalakis,gr GRE,MF,gr Olympiacos,26,1993,6,481,80,89.1,5.3,6,80,3,0,,0,1.67,7,11,-4,-0.75,+2.30,7.2,9.6,-2.4,-0.45,+0.66,Matches
101,Domagoj Bradarić\Domagoj-Bradaric,hr CRO,DF,fr Lille,19,1999,3,270,90,50.0,3.0,3,90,3,0,,3,0.33,2,8,-6,-2.00,-0.67,4.5,4.1,+0.4,+0.13,+1.02,Matches
102,Julian Brandt\Julian-Brandt,de GER,MFFW,de Dortmund,23,1996,7,490,70,68.1,5.4,5,90,4,2,21,0,1.43,8,8,0,0.00,+0.39,8.1,8.5,-0.5,-0.09,-0.32,Matches
103,Claudio Bravo\Claudio-Bravo,cl CHI,GK,eng Manchester City,36,1983,2,125,63,15.4,1.4,1,90,1,1,35,6,2.00,4,2,+2,+1.44,+0.13,2.5,0.9,+1.6,+1.15,-0.70,Matches
104,Rhian Brewster\Rhian-Brewster,eng ENG,FW,eng Liverpool,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
105,Armando Broja\Armando-Broja,al ALB,FW,eng Chelsea,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
106,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,26,1992,6,520,87,96.3,5.8,6,87,5,0,,0,1.17,9,9,0,0.00,-4.50,8.2,8.1,+0.1,+0.02,-0.53,Matches
107,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,de Dortmund,20,1998,2,21,11,2.9,0.2,0,,0,2,11,1,0.50,0,1,-1,-4.29,-4.29,0.1,1.1,-1.0,-4.19,-4.33,Matches
108,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,it Juventus,41,1978,1,90,90,12.5,1.0,1,90,1,0,,7,3.00,2,0,+2,+2.00,+1.14,1.1,0.8,+0.4,+0.37,+0.01,Matches
109,Mick van Buren\Mick-van-Buren,nl NED,FW,cz Slavia Prague,26,1992,2,47,24,8.7,0.5,0,,0,2,24,2,1.00,0,1,-1,-1.91,-1.00,0.8,0.8,-0.1,-0.13,+0.54,Matches
110,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,28,1990,8,720,90,100.0,8.0,8,90,8,0,,0,1.63,10,11,-1,-0.12,,11.4,11.3,+0.1,+0.02,,Matches
111,Sergio Busquets\Sergio-Busquets,es ESP,MF,es Barcelona,31,1988,7,504,72,62.2,5.6,7,72,2,0,,1,1.71,8,9,-1,-0.18,-0.77,9.1,8.6,+0.5,+0.09,+0.62,Matches
112,Bohdan Butko\Bohdan-Butko,ua UKR,DF,ua Shakhtar,28,1991,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
113,Adem Büyük\Adem-Buyuk,tr TUR,FW,tr Galatasaray,31,1987,2,93,47,17.2,1.0,1,90,1,1,3,3,0.50,1,2,-1,-0.97,+1.45,0.5,1.7,-1.1,-1.11,+1.25,Matches
114,Marcin Bułka\Marcin-Bulka,pl POL,GK,fr Paris S-G,19,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
115,Willy Caballero\Willy-Caballero,ar ARG,GK,eng Chelsea,37,1981,2,180,90,25.0,2.0,2,90,2,0,,6,0.00,1,7,-6,-3.00,-3.33,1.6,6.2,-4.6,-2.32,-3.75,Matches
116,Mattia Caldara\Mattia-Caldara,it ITA,DF,it Atalanta,25,1994,3,254,85,31.4,2.8,3,85,2,0,,0,2.00,9,6,+3,+1.06,+1.71,4.4,6.4,-2.0,-0.69,-1.03,Matches
117,José Callejón\Jose-Callejon,es ESP,MFFW,it Napoli,32,1987,7,569,81,79.0,6.3,7,81,3,0,,1,1.71,12,7,+5,+0.79,+0.79,12.1,8.1,+4.0,+0.64,+0.99,Matches
118,Mohamed Camara\Mohamed-Camara,gn GUI,MF,gr Olympiacos,22,1997,5,415,83,76.9,4.6,5,83,2,0,,1,1.73,5,11,-6,-1.30,-1.30,4.3,8.8,-4.5,-0.98,-1.99,Matches
119,Emre Can\Emre-Can,de GER,MF,de Dortmund,25,1994,2,178,89,24.7,2.0,2,89,1,0,,0,1.50,2,3,-1,-0.51,-0.51,1.5,2.5,-1.0,-0.49,-0.67,Matches
120,José Cañas\Jose-Canas,es ESP,MF,rs Red Star,32,1987,5,312,62,57.8,3.5,4,71,1,1,29,0,0.91,1,12,-11,-3.17,-0.80,1.3,8.5,-7.2,-2.07,+0.35,Matches
121,João Cancelo\Joao-Cancelo,pt POR,DF,eng Manchester City,25,1994,8,570,71,70.4,6.3,6,90,6,2,15,1,2.13,11,7,+4,+0.63,-2.37,14.1,3.8,+10.3,+1.63,-0.39,Matches
122,Antonio Candreva\Antonio-Candreva,it ITA,DF,it Inter,32,1987,5,388,78,71.9,4.3,5,78,3,0,,1,1.40,8,5,+3,+0.70,+1.88,7.0,5.7,+1.3,+0.29,+0.91,Matches
123,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,fr Lyon,19,2000,3,270,90,30.0,3.0,3,90,3,0,,3,1.00,4,6,-2,-0.67,-0.95,3.7,7.3,-3.6,-1.19,-0.85,Matches
124,Yannick Carrasco\Yannick-Carrasco,be BEL,MF,es Atlético Madrid,25,1993,1,90,90,10.7,1.0,1,90,1,0,,2,0.00,1,2,-1,-1.00,-1.60,1.0,0.5,+0.5,+0.52,-0.11,Matches
125,Scott Carson\Scott-Carson,eng ENG,GK,eng Manchester City,33,1985,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
126,Dani Carvajal\Dani-Carvajal,es ESP,DF,es Real Madrid,27,1992,7,622,89,86.4,6.9,7,89,6,0,,1,1.14,13,11,+2,+0.29,-1.55,14.3,10.8,+3.5,+0.51,+0.39,Matches
127,Casemiro\Casemiro,br BRA,MF,es Real Madrid,27,1992,8,689,86,95.7,7.7,8,86,7,0,,0,1.38,14,12,+2,+0.26,-5.55,13.6,11.7,+1.8,+0.24,-5.10,Matches
128,Timothy Castagne\Timothy-Castagne,be BEL,DF,it Atalanta,23,1995,6,394,66,48.6,4.4,4,90,3,2,18,3,1.17,6,10,-4,-0.91,-1.56,8.2,8.7,-0.6,-0.13,-0.28,Matches
