,,,
Player,Nation,Pos,Born
Marwin Hitz\Marwin-Hitz,ch SUI,GK,1987
Timo Horn\Timo-Horn,de GER,GK,1993
Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,1989
Jannik Huth\Jannik-Huth,de GER,GK,1994
Rune Jarstein\Rune-Jarstein,no NOR,GK,1984
Jesse Joronen\Jesse-Joronen,fi FIN,GK,1993
Lovre Kalinić\Lovre-Kalinic,hr CRO,GK,1990
Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,1994
Florian Kastenmeier\Florian-Kastenmeier,de GER,GK,1997
Tomáš Koubek\Tomas-Koubek,cz CZE,GK,1992
Thomas Kraft\Thomas-Kraft,de GER,GK,1988
Tim Krul\Tim-Krul,nl NED,GK,1988
Alban Lafont\Alban-Lafont,fr FRA,GK,1999
Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,1997
Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,1991
Nicolas Lemaître\Nicolas-Lemaitre,fr FRA,GK,1997
Bernd Leno\Bernd-Leno,de GER,GK,1992
Donovan Léon\Donovan-Leon,gf GUF,GK,1992
Karlo Letica\Karlo-Letica,hr CRO,GK,1997
Hugo Lloris\Hugo-Lloris,fr FRA,GK,1986
Anthony Lopes\Anthony-Lopes,pt POR,GK,1990
Diego López\Diego-Lopez,es ESP,GK,1981
Pau López\Pau-Lopez,es ESP,GK,1994
Andreas Luthe\Andreas-Luthe,de GER,GK,1987
Mike Maignan\Mike-Maignan,fr FRA,GK,1995
Steve Mandanda\Steve-Mandanda,fr FRA,GK,1985
Daniel Martín\Daniel-Martin,es ESP,GK,1998
David Martin\David-Martin,eng ENG,GK,1986
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,1992
Jordi Masip\Jordi-Masip,es ESP,GK,1989
Alex McCarthy\Alex-McCarthy,eng ENG,GK,1989
Michael McGovern\Michael-McGovern,nir NIR,GK,1984
Edouard Mendy\Edouard-Mendy,sn SEN,GK,1992
Alex Meret\Alex-Meret,it ITA,GK,1997
Antonio Mirante\Antonio-Mirante,it ITA,GK,1983
Simon Moore\Simon-Moore,eng ENG,GK,1990
Jessy Moulin\Jessy-Moulin,fr FRA,GK,1986
Florian Müller\Florian-Muller,de GER,GK,1997
Juan Musso\Juan-Musso,ar ARG,GK,1994
Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,1994
Keylor Navas\Keylor-Navas,cr CRC,GK,1986
Neto\Neto,br BRA,GK,1989
Manuel Neuer\Manuel-Neuer,de GER,GK,1986
Moritz Nicolas\Moritz-Nicolas,de GER,GK,1997
Alexander Nübel\Alexander-Nubel,de GER,GK,1996
Ørjan Nyland\Orjan-Nyland,no NOR,GK,1990
Jan Oblak\Jan-Oblak,si SVN,GK,1993
Oier Olazábal\Oier-Olazabal,es ESP,GK,1989
Robin Olsen\Robin-Olsen,se SWE,GK,1990
David Ospina\David-Ospina,co COL,GK,1988
Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,1988
Fernando Pacheco\Fernando-Pacheco,es ESP,GK,1992
Daniele Padelli\Daniele-Padelli,it ITA,GK,1985
Miquel Parera\Miquel-Parera,es ESP,GK,1996
Rui Patrício\Rui-Patricio,pt POR,GK,1988
Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,1992
Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,1981
Yohann Pelé\Yohann-Pele,fr FRA,GK,1982
Philipp Pentke\Philipp-Pentke,de GER,GK,1985
Juan Pérez\Juan-Perez,es ESP,GK,1996
Samu Pérez\Samu-Perez,es ESP,GK,1997
Mattia Perin\Mattia-Perin,it ITA,GK,1992
Pavao Pervan\Pavao-Pervan,at AUT,GK,1987
Danijel Petković\Danijel-Petkovic,me MNE,GK,1993
Denis Petrić\Denis-Petric,rs SRB,GK,1988
Jordan Pickford\Jordan-Pickford,eng ENG,GK,1994
Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,1990
Nick Pope\Nick-Pope,eng ENG,GK,1992
Ionuț Radu\Ionut-Radu,ro ROU,GK,1997
Boris Radunović\Boris-Radunovic,rs SRB,GK,1996
Rafael\Rafael,br BRA,GK,1982
Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,1995
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,1998
Darren Randolph\Darren-Randolph,ie IRL,GK,1987
Manolo Reina\Manolo-Reina,es ESP,GK,1985
Pepe Reina\Pepe-Reina,es ESP,GK,1982
Pepe Reina\Pepe-Reina,es ESP,GK,1982
Álex Remiro\Alex-Remiro,es ESP,GK,1995
Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,1990
Sergio Rico\Sergio-Rico,es ESP,GK,1993
Roberto\Roberto,es ESP,GK,1986
Roberto\Roberto,es ESP,GK,1986
Joel Robles\Joel-Robles,es ESP,GK,1990
Antonio Rosati\Antonio-Rosati,it ITA,GK,1983
Francesco Rossi\Francesco-Rossi,it ITA,GK,1991
Rubén\Ruben,es ESP,GK,1984
Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,1986
Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,1992
Mathew Ryan\Mathew-Ryan,au AUS,GK,1992
Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,1992
Romain Salin\Romain-Salin,fr FRA,GK,1984
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,1986
Markus Schubert\Markus-Schubert,de GER,GK,1998
Alexander Schwolow\Alexander-Schwolow,de GER,GK,1992
Matz Sels\Matz-Sels,be BEL,GK,1992
Luigi Sepe\Luigi-Sepe,it ITA,GK,1991
Rui Silva\Rui-Silva,pt POR,GK,1994
Marco Silvestri\Marco-Silvestri,it ITA,GK,1991
Unai Simón\Unai-Simon,es ESP,GK,1997
Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,1987
Antonio Sivera\Antonio-Sivera,es ESP,GK,1996
Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,1991
Dennis Smarsch\Dennis-Smarsch,de GER,GK,1999
Yann Sommer\Yann-Sommer,ch SUI,GK,1988
David Soria\David-Soria,es ESP,GK,1993
Juan Soriano\Juan-Soriano,es ESP,GK,1997
Marco Sportiello\Marco-Sportiello,it ITA,GK,1992
Jed Steer\Jed-Steer,eng ENG,GK,1992
Zack Steffen\Zack-Steffen,us USA,GK,1995
Thomas Strakosha\Thomas-Strakosha,al ALB,GK,1995
Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,1990
Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,1986
Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,1992
Pietro Terracciano\Pietro-Terracciano,it ITA,GK,1990
Demba Thiam\Demba-Thiam,sn SEN,GK,1998
Niclas Thiede\Niclas-Thiede,de GER,GK,1999
Kevin Trapp\Kevin-Trapp,de GER,GK,1990
Mark Travers\Mark-Travers,ie IRL,GK,1999
Stefano Turati\Stefano-Turati,it ITA,GK,2001
Samir Ujkani\Samir-Ujkani,xk KVX,GK,1988
Sven Ulreich\Sven-Ulreich,de GER,GK,1988
Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,1989
Koke Vegas\Koke-Vegas,es ESP,GK,1995
Mauro Vigorito\Mauro-Vigorito,it ITA,GK,1990
Iván Villar\Ivan-Villar,es ESP,GK,1997
Felix Wiedwald\Felix-Wiedwald,de GER,GK,1990
Yoel\Yoel,es ESP,GK,1988
Robin Zentner\Robin-Zentner,de GER,GK,1994
Leopold Zingerle\Leopold-Zingerle,de GER,GK,1994
