,,,
Player,Nation,Pos,Born
Petr Čech\Petr-Cech,cz CZE,GK,1982
Nereo Champagne\Nereo-Champagne,ar ARG,GK,1985
Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,1990
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,1989
Andrea Consigli\Andrea-Consigli,it ITA,GK,1987
Alex Cordaz\Alex-Cordaz,it ITA,GK,1983
Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,1983
Benoît Costil\Benoit-Costil,fr FRA,GK,1987
Thibaut Courtois\Thibaut-Courtois,be BEL,GK,1992
Alessio Cragno\Alessio-Cragno,it ITA,GK,1994
Luca Crosta\Luca-Crosta,it ITA,GK,1998
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,1984
Karl Darlow\Karl-Darlow,eng ENG,GK,1990
Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,1992
Thomas Didillon\Thomas-Didillon,fr FRA,GK,1995
Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,1992
Jaume Doménech\Jaume-Domenech,es ESP,GK,1990
Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,1999
Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,1997
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,1989
Maxime Dupé\Maxime-Dupe,fr FRA,GK,1993
Ederson\Ederson,br BRA,GK,1993
Rob Elliot\Rob-Elliot,ie IRL,GK,1986
Michael Esser\Michael-Esser,de GER,GK,1987
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,1985
Ralf Fährmann\Ralf-Fahrmann,de GER,GK,1988
Andrés Fernández\Andres-Fernandez,es ESP,GK,1986
Raúl Fernández\Raul-Fernandez,es ESP,GK,1988
Fraser Forster\Fraser-Forster,eng ENG,GK,1988
Ben Foster\Ben-Foster,eng ENG,GK,1983
Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,1992
David de Gea\David-de-Gea,es ESP,GK,1990
Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,1987
Dani Giménez\Dani-Gimenez,es ESP,GK,1983
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,1995
Heurelho Gomes\Heurelho-Gomes,br BRA,GK,1981
Alfred Gomis\Alfred-Gomis,sn SEN,GK,1993
Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,1990
Lee Grant\Lee-Grant,eng ENG,GK,1983
Vicente Guaita\Vicente-Guaita,es ESP,GK,1987
Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,1990
Régis Gurtner\Regis-Gurtner,fr FRA,GK,1986
Ben Hamer\Ben-Hamer,eng ENG,GK,1987
Samir Handanović\Samir-Handanovic,si SVN,GK,1984
Joe Hart\Joe-Hart,eng ENG,GK,1987
Tom Heaton\Tom-Heaton,eng ENG,GK,1986
Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,1987
Iago Herrerín\Iago-Herrerin,es ESP,GK,1988
Marwin Hitz\Marwin-Hitz,ch SUI,GK,1987
Timo Horn\Timo-Horn,de GER,GK,1993
Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,1989
Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,1981
Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,1984
Rune Jarstein\Rune-Jarstein,no NOR,GK,1984
Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,1990
Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,1996
Loris Karius\Loris-Karius,de GER,GK,1993
Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,1985
Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,1983
Hervé Koffi\Herve-Koffi,bf BFA,GK,1996
Tomáš Koubek\Tomas-Koubek,cz CZE,GK,1992
Maksym Koval\Maksym-Koval,ua UKR,GKMF,1992
Thomas Kraft\Thomas-Kraft,de GER,GK,1988
Alban Lafont\Alban-Lafont,fr FRA,GK,1999
Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,1989
Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,1991
Bernd Leno\Bernd-Leno,de GER,GK,1992
Alexandre Letellier\Alexandre-Letellier,fr FRA,GK,1990
Raúl Lizoain\Raul-Lizoain,es ESP,GK,1991
Hugo Lloris\Hugo-Lloris,fr FRA,GK,1986
Anthony Lopes\Anthony-Lopes,pt POR,GK,1990
Diego López\Diego-Lopez,es ESP,GK,1981
Pau López\Pau-Lopez,es ESP,GK,1994
Pedro López\Pedro-Lopez,es ESP,GK,1995
Jonas Lössl\Jonas-Lossl,dk DEN,GK,1989
Andreas Luthe\Andreas-Luthe,de GER,GK,1987
Raïs M'Bolhi\Rais-MBolhi,dz ALG,GK,1986
Mike Maignan\Mike-Maignan,fr FRA,GK,1995
Steve Mandanda\Steve-Mandanda,fr FRA,GK,1985
Gabriele Marchegiani\Gabriele-Marchegiani,it ITA,GK,1996
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,1992
Christian Mathenia\Christian-Mathenia,de GER,GK,1992
Alex McCarthy\Alex-McCarthy,eng ENG,GK,1989
Alex Meret\Alex-Meret,it ITA,GK,1997
Mathieu Michel\Mathieu-Michel,fr FRA,GK,1991
Simon Mignolet\Simon-Mignolet,be BEL,GK,1988
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,1997
Antonio Mirante\Antonio-Mirante,it ITA,GK,1983
Jessy Moulin\Jessy-Moulin,fr FRA,GK,1986
Florian Müller\Florian-Muller,de GER,GK,1997
Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,1994
Boaz Myhill\Boaz-Myhill,wal WAL,GK,1982
Keylor Navas\Keylor-Navas,cr CRC,GK,1986
Neto\Neto,br BRA,GK,1989
Manuel Neuer\Manuel-Neuer,de GER,GK,1986
Alexander Nübel\Alexander-Nubel,de GER,GK,1996
Jan Oblak\Jan-Oblak,si SVN,GK,1993
Oier Olazábal\Oier-Olazabal,es ESP,GK,1989
David Ospina\David-Ospina,co COL,GK,1988
Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,1988
Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,1984
Fernando Pacheco\Fernando-Pacheco,es ESP,GK,1992
Costel Pantilimon\Costel-Pantilimon,ro ROU,GK,1987
Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,1992
Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,1981
Yohann Pelé\Yohann-Pele,fr FRA,GK,1982
Mattia Perin\Mattia-Perin,it ITA,GK,1992
Jordan Pickford\Jordan-Pickford,eng ENG,GK,1994
Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,1990
Julian Pollersbeck\Julian-Pollersbeck,de GER,GK,1994
Nick Pope\Nick-Pope,eng ENG,GK,1992
Andrés Prieto\Andres-Prieto,es ESP,GK,1993
Jérôme Prior\Jerome-Prior,fr FRA,GK,1995
Christian Puggioni\Christian-Puggioni,it ITA,GK,1981
Christian Puggioni\Christian-Puggioni,it ITA,GK,1981
Rafael\Rafael,br BRA,GK,1982
Toño Ramírez\Tono-Ramirez,es ESP,GK,1986
Pepe Reina\Pepe-Reina,es ESP,GK,1982
Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,1990
Sergio Rico\Sergio-Rico,es ESP,GK,1993
Asier Riesgo\Asier-Riesgo,es ESP,GK,1983
Roberto\Roberto,es ESP,GK,1986
Sergio Romero\Sergio-Romero,ar ARG,GK,1987
Francesco Rossi\Francesco-Rossi,it ITA,GK,1991
Rubén\Ruben,es ESP,GK,1984
Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,1986
Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,1992
Mathew Ryan\Mathew-Ryan,au AUS,GK,1992
Mamadou Samassa\Mamadou-Samassa,ml MLI,GK,1990
Brice Samba\Brice-Samba,cg CGO,GK,1994
Antonio Santurro\Antonio-Santurro,it ITA,GK,1992
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,1986
Alexander Schwolow\Alexander-Schwolow,de GER,GK,1992
Simone Scuffet\Simone-Scuffet,it ITA,GK,1996
Luigi Sepe\Luigi-Sepe,it ITA,GK,1991
Marco Silvestri\Marco-Silvestri,it ITA,GK,1991
Tobias Sippel\Tobias-Sippel,de GER,GK,1988
Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,1987
Antonio Sivera\Antonio-Sivera,es ESP,GK,1996
Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,1991
Yann Sommer\Yann-Sommer,ch SUI,GK,1988
David Soria\David-Soria,es ESP,GK,1993
Stefano Sorrentino\Stefano-Sorrentino,it ITA,GK,1979
Julián Speroni\Julian-Speroni,ar ARG,GK,1979
Marco Sportiello\Marco-Sportiello,it ITA,GK,1992
Tom Starke\Tom-Starke,de GER,GK,1981
Thomas Strakosha\Thomas-Strakosha,al ALB,GK,1995
Danijel Subašić\Danijel-Subasic,hr CRO,GK,1984
Seydou Sy\Seydou-Sy,sn SEN,GK,1995
Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,1990
Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,1986
Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,1992
Kevin Trapp\Kevin-Trapp,de GER,GK,1990
Philipp Tschauner\Philipp-Tschauner,de GER,GK,1985
Przemysław Tytoń\Przemyslaw-Tyton,pl POL,GK,1987
Sven Ulreich\Sven-Ulreich,de GER,GK,1988
Francis Uzoho\Francis-Uzoho,ng NGA,GK,1998
Koke Vegas\Koke-Vegas,es ESP,GK,1995
Rémy Vercoutre\Remy-Vercoutre,fr FRA,GK,1980
Emiliano Viviano\Emiliano-Viviano,it ITA,GK,1985
Michel Vorm\Michel-Vorm,nl NED,GK,1983
Roman Weidenfeller\Roman-Weidenfeller,de GER,GK,1980
Axel Werner\Axel-Werner,ar ARG,GK,1996
Yoel\Yoel,es ESP,GK,1988
Erwin Zelazny\Erwin-Zelazny,fr FRA,GK,1991
Robin Zentner\Robin-Zentner,de GER,GK,1994
Luca Zidane\Luca-Zidane,fr FRA,GK,1998
Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,1989
