,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
15,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23-352,1997,31.0,44,4,0,3,1,35.6,0.31,-6.4,-0.21,143,408,35.0,542,156,46.5,40.1,214,72.9,52.4,273,19,7.0,9,0.30,13.0,Matches
16,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22-303,1998,5.3,8,1,0,1,0,7.5,0.32,-0.5,-0.09,67,113,59.3,136,21,57.4,43.1,47,74.5,54.9,45,5,11.1,1,0.19,11.9,Matches
17,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-254,1995,18.2,27,1,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9,Matches
18,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,30-000,1991,25.0,16,2,0,3,2,16.9,0.21,+2.9,+0.12,148,305,48.5,646,99,34.2,35.1,149,56.4,43.9,200,23,11.5,18,0.75,16.1,Matches
19,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37-357,1983,11.0,17,2,0,2,1,16.6,0.40,+1.6,+0.16,73,179,40.8,284,45,51.4,41.5,53,62.3,49.5,67,4,6.0,3,0.30,12.3,Matches
20,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,43-067,1978,5.0,2,1,0,0,0,2.6,0.16,+0.6,+0.13,14,34,41.2,140,26,21.4,27.9,37,10.8,19.5,44,1,2.3,5,1.00,14.7,Matches
21,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-142,1990,16.0,26,2,0,5,0,20.7,0.28,-5.3,-0.33,72,162,44.4,442,86,29.4,31.7,87,36.8,35.7,94,7,7.4,5,0.31,13.8,Matches
22,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,32-037,1989,1.0,2,0,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68.0,49.2,12,100.0,67.0,10,1,10.0,0,0.00,10.0,Matches
23,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-183,1999,1.0,1,0,0,0,0,1.3,0.45,+0.3,+0.32,2,5,40.0,28,9,17.9,25.5,2,0.0,21.5,7,0,0.0,2,2.00,13.1,Matches
24,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-189,1981,1.0,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15.0,24.6,6,0.0,19.7,8,0,0.0,2,2.00,22.0,Matches
25,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26-328,1994,4.0,10,3,1,1,0,9.2,0.33,-0.8,-0.19,17,48,35.4,71,27,35.2,33.2,30,76.7,59.7,29,4,13.8,2,0.50,14.6,Matches
26,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,24-008,1997,3.0,2,0,0,0,0,4.1,0.19,+2.1,+0.71,19,43,44.2,71,18,42.3,34.7,29,44.8,38.5,45,2,4.4,2,0.67,13.4,Matches
27,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,34-185,1986,1.0,1,0,0,0,0,1.0,0.52,0.0,+0.04,5,6,83.3,23,10,13.0,22.9,10,30.0,34.1,8,2,25.0,0,0.00,14.7,Matches
28,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28-284,1992,26.0,21,2,1,3,1,24.2,0.29,+4.2,+0.16,201,438,45.9,850,128,38.8,36.3,162,66.7,51.2,216,18,8.3,25,0.96,15.8,Matches
29,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,23-034,1998,3.0,4,1,0,0,0,5.0,0.45,+1.0,+0.34,14,37,37.8,68,13,41.2,38.4,22,40.9,40.2,30,3,10.0,2,0.67,14.2,Matches
30,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41-311,1979,2.0,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1.00,14.3,Matches
31,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,31-348,1989,5.0,6,1,0,0,0,6.3,0.33,+0.3,+0.06,35,90,38.9,106,23,59.4,43.4,44,61.4,48.5,46,4,8.7,6,1.20,13.6,Matches
32,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-068,1987,27.0,46,4,0,4,1,46.3,0.32,+1.3,+0.05,144,314,45.9,817,117,32.3,31.2,173,28.9,27.2,256,22,8.6,19,0.70,16.1,Matches
33,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-094,1983,29.0,74,5,2,9,1,65.3,0.37,-7.7,-0.27,191,443,43.1,918,127,39.4,34.2,249,32.5,29.8,251,13,5.2,29,1.00,15.3,Matches
34,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-144,1983,6.0,9,1,1,0,0,9.4,0.36,+0.4,+0.07,35,70,50.0,245,23,24.5,30.3,42,23.8,24.4,48,0,0.0,7,1.17,16.0,Matches
35,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-276,1987,31.0,42,4,2,3,1,34.9,0.27,-2.1,-0.07,251,543,46.2,842,121,46.9,39.1,222,66.7,48.8,257,16,6.2,14,0.47,13.8,Matches
36,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-329,1992,29.0,23,6,0,3,1,23.9,0.22,+1.9,+0.07,103,277,37.2,822,177,24.3,32.2,185,41.6,40.0,222,18,8.1,18,0.62,14.9,Matches
37,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-281,1994,29.0,50,5,1,7,0,51.6,0.30,+1.6,+0.05,170,411,41.4,603,113,45.9,36.9,234,57.3,41.6,273,28,10.3,15,0.52,13.1,Matches
38,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-009,1998,1.0,5,1,0,1,0,5.5,0.43,+0.5,+0.50,0,5,0.0,18,8,27.8,32.3,5,0.0,16.0,16,1,6.3,0,0.00,8.4,Matches
39,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-179,1990,25.0,43,3,1,4,2,37.0,0.28,-4.0,-0.16,184,532,34.6,506,88,68.4,50.5,220,84.5,60.2,239,22,9.2,6,0.24,12.2,Matches
40,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-140,1999,1.5,1,1,0,0,0,1.0,0.03,0.0,+0.01,5,16,31.3,40,13,27.5,32.2,12,41.7,39.0,11,0,0.0,1,0.67,15.3,Matches
41,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,29-071,1992,27.7,34,3,0,2,0,37.1,0.33,+3.1,+0.11,242,638,37.9,682,79,68.5,54.7,189,90.5,72.6,225,16,7.1,29,1.05,16.8,Matches
42,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-151,1990,24.0,34,3,2,4,2,31.5,0.28,+1.5,+0.07,236,457,51.6,534,85,55.6,41.9,212,75.5,54.8,270,19,7.0,11,0.48,13.3,Matches
43,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,22-039,1999,28.0,31,2,2,5,1,31.4,0.29,+1.4,+0.05,132,328,40.2,785,108,33.9,32.4,154,40.3,34.5,246,21,8.5,14,0.50,14.3,Matches
44,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-229,1997,28.5,44,5,1,8,1,40.9,0.33,-2.1,-0.07,171,424,40.3,645,137,49.5,40.5,210,50.0,41.4,269,16,5.9,14,0.49,14.4,Matches
45,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32-016,1989,13.0,18,4,1,2,1,15.7,0.31,-1.3,-0.11,60,159,37.7,198,34,49.5,40.3,89,68.5,46.8,94,7,7.4,4,0.33,12.9,Matches
46,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,32-080,1989,5.0,7,0,0,0,1,4.5,0.26,+0.5,+0.12,34,69,49.3,103,13,42.7,39.8,37,67.6,53.9,45,3,6.7,2,0.50,13.8,Matches
47,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-231,1993,30.0,20,7,0,2,1,22.5,0.27,+3.5,+0.12,117,251,46.6,776,121,24.1,31.1,129,49.6,44.7,151,10,6.6,20,0.67,15.9,Matches
48,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35-352,1985,27.0,33,2,0,3,3,33.3,0.31,+3.3,+0.12,221,509,43.4,552,101,62.0,46.4,209,79.9,56.5,293,21,7.2,9,0.33,12.5,Matches
49,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-190,1988,13.8,35,2,0,5,2,27.2,0.30,-5.8,-0.42,78,248,31.5,417,69,39.8,36.3,128,64.1,47.6,133,8,6.0,12,0.87,14.6,Matches
50,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,23-049,1998,0.1,1,1,0,0,0,1.0,,0.0,-0.17,1,2,50.0,1,0,100.0,103.0,1,100.0,63.0,2,0,0.0,0,0.00,8.0,Matches
51,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29-337,1991,25.0,35,3,1,6,0,32.0,0.31,-3.0,-0.12,111,289,38.4,615,130,38.9,36.4,177,28.2,30.4,226,14,6.2,23,0.92,15.0,Matches
52,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,22-357,1998,16.0,27,1,0,6,0,24.3,0.34,-2.7,-0.17,92,250,36.8,474,78,40.5,37.7,132,43.9,40.7,151,10,6.6,9,0.56,14.8,Matches
53,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,34-109,1986,13.0,17,3,1,3,0,14.1,0.28,-2.9,-0.22,72,227,31.7,372,58,46.0,38.5,102,54.9,44.5,135,11,8.1,3,0.23,11.6,Matches
54,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,33-019,1988,5.0,5,1,0,1,0,2.2,0.22,-0.8,-0.19,33,102,32.4,117,14,60.7,46.0,36,86.1,58.3,44,2,4.5,3,0.75,15.7,Matches
55,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,30-149,1990,23.5,29,4,1,4,2,26.7,0.30,-0.3,-0.01,80,192,41.7,372,71,34.9,33.2,164,37.8,34.0,184,9,4.9,9,0.38,14.1,Matches
56,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33-161,1987,27.0,42,6,0,3,2,41.2,0.26,+2.2,+0.08,206,514,40.1,905,176,42.3,36.9,240,54.6,45.1,326,20,6.1,15,0.56,14.0,Matches
57,David Gil\David-Gil,es ESP,GK,Cádiz,es La Liga,27-084,1994,1.0,2,0,0,0,0,1.2,0.40,-0.8,-0.80,5,29,17.2,28,3,75.0,51.4,9,88.9,64.3,5,0,0.0,0,0.00,9.0,Matches
58,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,26-018,1995,16.7,18,1,0,3,1,17.9,0.32,+0.9,+0.05,95,206,46.1,373,54,41.0,37.2,80,66.3,50.8,97,3,3.1,15,0.90,14.9,Matches
59,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Rennes,fr Ligue 1,27-212,1993,15.0,20,1,0,0,0,18.1,0.33,+0.1,0.00,64,147,43.5,335,81,30.1,31.5,83,55.4,44.4,113,15,13.3,13,0.93,15.1,Matches
60,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,fr Ligue 1,27-212,1993,5.0,10,3,0,2,1,9.9,0.30,+0.9,+0.17,28,94,29.8,121,28,43.0,39.4,67,62.7,49.6,78,8,10.3,3,0.60,12.8,Matches
61,Etienne Green\Etienne-Green,fr FRA,GK,Saint-Étienne,fr Ligue 1,20-260,2000,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
62,Lennart Grill\Lennart-Grill,de GER,GK,Leverkusen,de Bundesliga,22-070,1999,4.0,7,0,0,0,0,6.4,0.32,-0.6,-0.16,10,25,40.0,136,26,16.9,27.3,25,8.0,22.2,23,3,13.0,4,1.00,15.9,Matches
63,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,34-085,1987,29.0,47,3,1,7,0,47.7,0.35,+0.7,+0.03,184,548,33.6,592,118,58.3,43.4,242,83.9,59.6,295,19,6.4,10,0.34,12.9,Matches
64,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,30-334,1990,27.0,22,2,0,2,0,20.5,0.29,-1.5,-0.05,114,233,48.9,814,145,25.2,31.0,134,20.9,28.7,155,10,6.5,40,1.48,18.1,Matches
65,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,36-265,1984,28.0,26,3,1,3,0,25.9,0.25,-0.1,0.00,100,217,46.1,709,123,24.3,29.5,140,32.1,32.7,228,15,6.6,11,0.39,11.8,Matches
66,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,eng Premier League,24-024,1997,6.5,4,0,0,2,0,4.2,0.19,+1.2,+0.22,13,45,28.9,82,27,37.8,34.4,50,28.0,30.4,48,4,8.3,4,0.73,15.8,Matches
67,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,es La Liga,27-304,1993,25.9,30,4,0,3,2,32.6,0.33,+4.6,+0.18,349,733,47.6,706,58,78.9,54.8,185,95.1,64.2,285,28,9.8,43,1.66,16.6,Matches
68,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,33-199,1987,11.0,13,2,0,1,1,11.6,0.32,-0.4,-0.03,64,112,57.1,304,46,25.7,30.4,82,41.5,38.0,64,6,9.4,5,0.45,14.1,Matches
69,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,27-328,1993,26.4,46,7,1,5,0,41.7,0.28,-4.3,-0.16,231,511,45.2,901,98,47.4,39.7,171,49.1,42.3,227,9,4.0,17,0.64,13.4,Matches
70,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,31-132,1989,21.5,22,1,0,0,2,19.2,0.31,-0.8,-0.04,156,390,40.0,970,124,35.6,34.5,121,37.2,34.8,134,10,7.5,26,1.21,17.4,Matches
71,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,36-188,1984,8.0,13,1,0,2,1,10.2,0.28,-1.8,-0.22,60,153,39.2,210,25,51.0,41.7,74,62.2,47.9,72,7,9.7,4,0.50,12.8,Matches
72,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,28-011,1993,29.0,57,5,0,8,3,56.6,0.31,+2.6,+0.09,255,715,35.7,763,132,69.3,49.9,218,85.3,59.3,278,20,7.2,20,0.69,14.4,Matches
73,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,24-166,1996,8.0,14,1,0,1,1,9.7,0.28,-3.3,-0.41,63,142,44.4,191,43,48.7,39.3,56,87.5,60.0,58,3,5.2,1,0.13,12.9,Matches
74,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27-287,1993,3.2,1,0,0,0,1,1.7,0.35,+1.7,+0.53,21,56,37.5,75,9,56.0,44.3,20,70.0,56.5,30,2,6.7,0,0.00,11.5,Matches
75,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38-016,1983,22.0,30,3,1,3,0,28.5,0.31,-1.5,-0.07,174,380,45.8,486,76,51.6,41.6,176,73.3,55.5,184,10,5.4,5,0.23,11.5,Matches
76,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-133,1998,2.0,1,0,0,0,0,2.2,0.32,+1.2,+0.62,8,19,42.1,48,10,31.3,34.1,14,28.6,33.7,19,2,10.5,1,0.50,18.3,Matches
77,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-120,1997,27.0,41,3,1,3,1,37.7,0.28,-2.3,-0.09,113,267,42.3,732,159,30.5,30.7,216,20.4,24.4,225,15,6.7,16,0.62,14.0,Matches
78,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,22-072,1999,31.0,48,9,2,8,1,43.0,0.29,-2.0,-0.07,157,508,30.9,692,109,49.9,42.5,209,78.0,56.2,263,18,6.8,22,0.73,14.7,Matches
79,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,de Bundesliga,36-089,1985,2.7,12,0,0,5,1,8.7,0.36,-2.3,-0.85,11,35,31.4,50,7,44.0,38.2,26,50.0,39.3,23,0,0.0,3,1.13,15.1,Matches
80,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,24-041,1997,28.0,50,6,1,6,1,41.3,0.27,-6.7,-0.25,173,358,48.3,787,135,36.7,36.6,213,32.4,34.6,269,20,7.4,10,0.37,12.7,Matches
81,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Lens,fr Ligue 1,35-196,1985,30.9,42,7,0,5,2,38.8,0.31,-1.2,-0.04,177,452,39.2,668,107,53.1,41.8,201,48.3,40.6,225,16,7.1,18,0.58,15.1,Matches
82,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29-344,1991,21.0,23,3,1,0,0,16.5,0.28,-6.5,-0.31,124,281,44.1,621,92,36.6,34.4,123,43.9,41.0,152,9,5.9,27,1.29,18.0,Matches
83,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-051,1993,26.0,40,7,2,4,1,31.7,0.29,-6.3,-0.25,249,648,38.4,539,44,81.4,57.2,219,95.4,69.0,248,25,10.1,11,0.44,13.5,Matches
84,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-032,1992,28.8,34,1,0,5,3,34.1,0.32,+3.1,+0.11,96,282,34.0,791,140,21.5,28.1,182,61.5,47.1,257,14,5.4,21,0.73,14.7,Matches
85,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-100,1986,30.0,32,7,0,2,2,32.0,0.27,+4.0,+0.14,164,388,42.3,598,115,49.7,38.7,210,43.3,36.1,294,13,4.4,12,0.41,13.2,Matches
86,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27-251,1993,1.5,3,0,0,0,0,3.1,0.38,+0.1,+0.04,5,17,29.4,53,13,26.4,30.5,7,42.9,37.9,12,1,8.3,1,0.67,14.2,Matches
87,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-186,1990,31.0,31,4,1,2,2,31.8,0.28,+2.8,+0.09,175,321,54.5,752,150,30.6,32.3,212,42.9,37.2,265,13,4.9,31,1.00,17.1,Matches
88,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-113,1994,18.2,25,3,1,3,3,22.6,0.30,+0.6,+0.04,74,178,41.6,505,96,28.9,31.6,81,39.5,37.0,105,6,5.7,14,0.77,16.3,Matches
89,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-026,1987,23.8,32,4,0,7,1,28.2,0.31,-1.8,-0.08,145,386,37.6,673,84,42.1,37.5,155,66.5,46.6,183,15,8.2,7,0.31,13.1,Matches
90,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,25-128,1995,31.0,19,1,0,7,1,21.0,0.24,+3.0,+0.10,135,383,35.2,679,151,38.6,36.9,195,62.1,52.5,227,19,8.4,23,0.74,15.9,Matches
91,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,21-140,1999,1.0,1,0,0,0,0,0.3,0.16,-0.7,-0.68,4,15,26.7,25,2,36.0,32.5,12,50.0,39.9,7,0,0.0,1,1.00,16.0,Matches
92,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36-008,1985,30.0,34,2,1,5,1,30.4,0.32,-2.6,-0.09,173,505,34.3,810,149,42.8,37.8,239,66.1,49.0,299,22,7.4,17,0.59,13.8,Matches
93,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,33-034,1988,9.0,14,2,0,1,0,11.9,0.34,-2.1,-0.23,55,138,39.9,226,26,41.2,36.4,61,73.8,54.0,63,3,4.8,6,0.67,18.8,Matches
94,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,38-057,1983,2.7,7,0,0,1,0,4.6,0.36,-2.4,-0.88,13,27,48.1,65,11,23.1,30.0,25,48.0,36.8,20,0,0.0,2,0.74,16.5,Matches
95,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,28-215,1992,29.0,31,3,2,2,0,37.6,0.28,+7.6,+0.27,217,546,39.7,764,107,53.9,42.7,183,73.2,54.5,288,24,8.3,16,0.57,14.1,Matches
96,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,32-092,1989,18.0,25,3,1,3,0,25.6,0.32,+0.6,+0.03,131,408,32.1,391,59,68.0,49.4,164,86.6,63.3,220,13,5.9,11,0.61,13.8,Matches
97,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,31-123,1989,25.0,48,5,1,3,1,40.0,0.32,-7.0,-0.28,126,441,28.6,767,99,45.8,36.8,133,67.7,49.0,194,18,9.3,19,0.76,15.6,Matches
98,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,29-035,1992,1.0,1,0,0,0,0,0.6,0.56,-0.4,-0.44,7,12,58.3,23,2,43.5,37.9,6,33.3,35.2,6,1,16.7,0,0.00,10.0,Matches
99,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,29-035,1992,25.0,21,2,1,3,1,19.3,0.27,-0.7,-0.03,116,231,50.2,703,99,25.0,28.8,145,37.9,34.3,174,11,6.3,18,0.72,15.6,Matches
100,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,24-014,1997,13.0,20,2,0,3,1,15.4,0.27,-3.6,-0.28,34,75,45.3,335,68,17.9,26.5,53,28.3,29.0,82,10,12.2,2,0.15,11.6,Matches
101,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,21-034,2000,29.0,47,7,1,11,2,48.0,0.28,+3.0,+0.10,141,300,47.0,899,225,26.1,29.5,200,32.5,31.6,155,14,9.0,17,0.59,13.5,Matches
102,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,24-044,1997,2.0,4,1,0,0,0,3.0,0.21,-1.0,-0.51,5,18,27.8,57,9,22.8,31.0,7,71.4,54.0,15,0,0.0,1,0.50,12.3,Matches
