,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
36,Neto\Neto,br BRA,GK,es Barcelona,30,1989,1.0,1,0,0,0,0,0.5,0.07,-0.5,-0.51,9,20,45.0,40,11,40.0,35.4,10,40.0,37.3,12,0,0.0,0,0.00,10.6,Matches
37,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,33,1986,11.0,8,1,0,0,1,8.5,0.23,+1.5,+0.13,86,135,63.7,429,58,29.6,31.7,57,14.0,26.4,56,3,5.4,9,0.82,15.4,Matches
38,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,26,1993,9.3,9,0,1,0,1,6.9,0.24,-1.1,-0.12,70,170,41.2,158,29,64.6,46.8,80,85.0,59.3,104,6,5.8,2,0.21,13.6,Matches
39,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,23,1996,6.0,6,2,0,1,0,10.5,0.32,+4.5,+0.75,38,109,34.9,174,26,47.1,40.0,49,55.1,44.9,43,6,14.0,4,0.67,15.7,Matches
40,David Ospina\David-Ospina,co COL,GK,it Napoli,30,1988,2.0,4,1,0,1,0,3.3,0.59,-0.7,-0.33,7,14,50.0,50,5,22.0,28.3,11,27.3,18.2,10,0,0.0,1,0.50,8.5,Matches
41,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6.0,13,1,0,0,0,12.9,0.38,-0.1,-0.02,57,104,54.8,192,44,42.2,38.2,50,46.0,40.3,63,6,9.5,2,0.33,12.5,Matches
42,Sergio Rico\Sergio-Rico,es ESP,GK,fr Paris S-G,25,1993,2.1,0,0,0,0,0,0.1,0.04,+0.1,+0.05,3,11,27.3,45,10,17.8,24.9,13,23.1,25.8,16,0,0.0,0,0.00,8.8,Matches
43,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,26,1993,6.0,14,1,0,3,0,12.8,0.36,-1.2,-0.20,24,116,20.7,168,38,49.4,41.7,45,73.3,58.6,58,8,13.8,1,0.17,14.0,Matches
44,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Atalanta,27,1992,2.0,5,0,0,0,0,4.4,0.34,-0.6,-0.29,12,38,31.6,36,8,55.6,43.0,19,94.7,62.9,15,0,0.0,1,0.50,13.5,Matches
45,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,26,1992,3.4,9,0,0,0,0,5.6,0.31,-3.4,-1.02,11,38,28.9,56,9,44.6,36.2,30,43.3,43.1,25,2,8.0,3,0.89,14.4,Matches
46,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,29,1990,7.0,6,1,0,1,0,7.2,0.30,+1.2,+0.17,23,35,65.7,142,40,16.2,28.5,54,22.2,28.1,63,6,9.5,3,0.43,12.7,Matches
47,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,27,1992,8.0,13,1,0,1,0,14.9,0.39,+1.9,+0.23,28,68,41.2,220,42,25.5,30.1,57,21.1,27.8,49,3,6.1,4,0.50,12.5,Matches
48,Maarten Vandevoordt\Maarten-Vandevoordt,be BEL,GK,be Genk,17,2002,1.0,4,2,0,0,0,3.4,0.53,-0.6,-0.58,8,16,50.0,23,2,56.5,41.3,6,50.0,41.0,7,1,14.3,0,0.00,8.7,Matches
49,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,25,1994,6.0,11,1,0,1,1,8.6,0.28,-1.4,-0.24,21,55,38.2,126,38,24.6,31.5,57,42.1,38.5,62,3,4.8,5,0.83,15.5,Matches
