 ,,,,,,,,,,Goals,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
26,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,34-066,1987,6.0,13,3,0,2,0,11.0,0.37,-2.0,-0.33,36,76,47.4,155,41,36.8,35.4,39,48.7,40.1,49,4,8.2,3,0.50,13.5,Matches
27,Steve Mandanda\Steve-Mandanda,fr FRA,GK,fr Marseille,36-007,1985,6.0,13,2,0,2,1,10.9,0.37,-1.1,-0.18,32,105,30.5,211,18,40.8,35.2,38,50.0,39.3,37,6,16.2,2,0.33,15.6,Matches
28,Agustín Marchesín\Agustin-Marchesin,ar ARG,GK,pt Porto,33-019,1988,7.3,7,1,1,1,0,10.1,0.30,+3.1,+0.43,61,189,32.3,240,26,68.8,49.1,51,47.1,40.7,89,3,3.4,4,0.55,14.6,Matches
29,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,35-113,1985,6.0,11,0,0,3,0,8.2,0.25,-1.8,-0.30,60,119,50.4,175,29,47.4,39.3,72,50.0,37.7,79,8,10.1,3,0.50,10.8,Matches
30,Edouard Mendy\Edouard-Mendy,sn SEN,GK,eng Chelsea,29-034,1992,7.0,1,0,0,1,0,2.6,0.14,+1.6,+0.23,39,91,42.9,192,30,32.8,32.9,50,56.0,44.3,56,8,14.3,2,0.29,11.4,Matches
31,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,33-029,1988,5.0,9,1,1,1,0,8.3,0.34,-0.7,-0.14,52,105,49.5,199,24,47.2,38.8,32,34.4,37.4,32,3,9.4,11,2.20,21.5,Matches
32,Keylor Navas\Keylor-Navas,cr CRC,GK,fr Paris S-G,34-110,1986,8.0,8,3,0,2,0,10.1,0.18,+2.1,+0.26,48,116,41.4,214,39,43.0,37.3,60,40.0,37.4,65,2,3.1,4,0.50,13.1,Matches
33,Ruslan Neshcheret\Ruslan-Neshcheret,ua UKR,GK,ua Dynamo Kyiv,19-072,2002,1.0,2,1,0,0,0,3.5,0.21,+1.5,+1.48,9,12,75.0,28,5,35.7,32.2,11,18.2,25.4,6,0,0.0,0,0.00,15.0,Matches
34,Neto\Neto,br BRA,GK,es Barcelona,31-259,1989,3.0,2,1,0,0,0,1.9,0.32,+0.9,+0.30,8,23,34.8,70,14,21.4,26.7,22,36.4,36.3,18,0,0.0,1,0.33,9.6,Matches
35,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,35-008,1986,6.0,5,0,0,1,0,9.6,0.27,+4.6,+0.77,40,64,62.5,223,47,25.6,31.2,35,20.0,31.5,42,5,11.9,7,1.17,19.7,Matches
36,Alexander Nübel\Alexander-Nubel,de GER,GK,de Bayern Munich,24-186,1996,2.0,2,0,0,0,0,1.7,0.34,-0.3,-0.15,1,8,12.5,68,11,11.8,25.6,13,0.0,19.9,11,1,9.1,2,1.00,18.0,Matches
37,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,28-087,1993,8.0,11,2,0,0,0,9.8,0.35,-1.2,-0.15,48,126,38.1,144,30,61.8,43.3,61,60.7,45.7,44,1,2.3,2,0.25,12.4,Matches
38,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,25-002,1996,6.0,7,1,0,0,1,7.6,0.26,+1.6,+0.26,50,107,46.7,281,34,34.9,34.0,32,28.1,31.4,35,2,5.7,3,0.50,13.7,Matches
39,Alfonso Pastor\Alfonso-Pastor,es ESP,GK,es Sevilla,20-182,2000,1.0,4,1,0,0,0,2.8,0.37,-1.2,-1.16,2,9,22.2,27,5,22.2,29.4,4,75.0,48.0,5,1,20.0,0,0.00,14.0,Matches
40,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,36-280,1984,1.0,4,1,1,1,0,2.7,0.37,-1.3,-1.35,6,9,66.7,18,1,22.2,30.2,8,62.5,42.9,1,0,0.0,1,1.00,23.0,Matches
41,Pepe Reina\Pepe-Reina,es ESP,GK,it Lazio,38-216,1982,7.0,12,2,0,0,1,8.5,0.26,-2.5,-0.36,45,75,60.0,259,40,27.0,31.0,24,20.8,26.0,55,4,7.3,3,0.43,13.6,Matches
42,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,28-077,1993,6.0,10,3,0,0,0,9.4,0.22,-0.6,-0.10,34,92,37.0,164,41,40.9,35.5,49,51.0,44.1,45,4,8.9,2,0.33,14.1,Matches
43,Matvei Safonov\Matvei-Safonov,ru RUS,GK,ru Krasnodar,22-038,1999,4.0,8,2,0,1,0,6.2,0.16,-1.8,-0.44,34,82,41.5,95,22,65.3,46.6,28,71.4,48.7,63,5,7.9,1,0.25,11.8,Matches
44,Romain Salin\Romain-Salin,fr FRA,GK,fr Rennes,36-249,1984,2.0,4,0,0,1,0,2.8,0.35,-1.2,-0.62,13,26,50.0,36,5,44.4,35.2,12,83.3,53.0,15,0,0.0,2,1.00,19.4,Matches
45,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,32-108,1988,8.0,13,0,0,2,0,12.4,0.35,-0.6,-0.08,40,100,40.0,296,28,31.4,32.0,49,14.3,24.8,64,4,6.3,3,0.38,12.6,Matches
46,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Atalanta,28-329,1992,5.0,11,2,0,1,0,9.2,0.26,-1.8,-0.36,22,46,47.8,88,23,30.7,31.9,28,67.9,50.6,30,3,10.0,4,0.80,14.7,Matches
47,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,28-151,1992,6.0,17,2,0,3,1,12.3,0.35,-3.7,-0.62,20,46,43.5,93,18,40.9,35.5,31,25.8,33.1,44,0,0.0,2,0.33,13.7,Matches
48,Zack Steffen\Zack-Steffen,us USA,GK,eng Manchester City,26-002,1995,1.0,0,0,0,0,0,0.1,0.07,+0.1,+0.14,1,2,50.0,20,5,10.0,22.5,5,0.0,13.2,6,0,0.0,1,1.00,18.0,Matches
49,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,26-016,1995,1.0,1,0,0,0,0,1.4,0.21,+0.4,+0.44,4,12,33.3,11,3,63.6,39.5,7,71.4,49.9,11,0,0.0,0,0.00,10.0,Matches
50,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,30-351,1990,7.3,8,2,1,0,0,9.1,0.29,+1.1,+0.15,13,21,61.9,135,24,12.6,23.3,40,10.0,23.1,36,4,11.1,5,0.68,17.1,Matches
51,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,28-339,1992,5.0,9,3,0,0,0,9.7,0.35,+0.7,+0.14,19,27,70.4,104,17,19.2,26.1,30,23.3,26.0,26,0,0.0,1,0.20,11.7,Matches
52,Anatolii Trubin\Anatolii-Trubin,ua UKR,GK,ua Shakhtar,19-246,2001,5.0,8,0,0,2,1,8.5,0.27,+1.5,+0.30,36,110,32.7,162,28,45.1,40.0,52,71.2,52.7,79,5,6.3,0,0.00,11.2,Matches
53,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,es Sevilla,32-006,1989,2.0,3,1,1,0,0,2.8,0.38,-0.2,-0.10,7,19,36.8,35,3,40.0,36.0,8,62.5,49.8,13,2,15.4,0,0.00,9.8,Matches

