,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,,
11,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,es Real Madrid,28-328,1992,8,8,720,8.0,10,1.25,24,15,58.3,5,1,2,3,37.5,0,0,0,0,,Matches
12,Dénes Dibusz\Denes-Dibusz,hu HUN,GK,hu Ferencváros,30-139,1990,6,6,540,6.0,17,2.83,33,20,57.6,0,1,5,0,0.0,3,3,0,0,0.0,Matches
13,Ederson\Ederson,br BRA,GK,eng Manchester City,27-230,1993,7,7,630,7.0,1,0.14,10,8,90.0,6,1,0,6,85.7,0,0,0,0,,Matches
14,David de Gea\David-de-Gea,es ESP,GK,eng Manchester Utd,30-148,1990,5,5,450,5.0,8,1.60,20,13,60.0,3,0,2,1,20.0,0,0,0,0,,Matches
15,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,it Atalanta,26-017,1995,3,3,270,3.0,1,0.33,6,5,83.3,2,0,1,2,66.7,0,0,0,0,,Matches
16,Alfred Gomis\Alfred-Gomis,sn SEN,GK,fr Rennes,27-211,1993,4,4,360,4.0,7,1.75,17,12,70.6,0,1,3,0,0.0,2,2,0,0,0.0,Matches
17,Yevgeni Gorodov\Yevgeni-Gorodov,ru RUS,GK,ru Krasnodar,35-112,1985,2,2,180,2.0,3,1.50,12,10,83.3,0,1,1,0,0.0,1,1,0,0,0.0,Matches
18,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,de RB Leipzig,30-333,1990,8,8,720,8.0,16,2.00,33,21,60.6,4,0,4,1,12.5,4,3,1,0,25.0,Matches
19,Mert Günok\Mert-Gunok,tr TUR,GK,tr Başakşehir,32-034,1989,6,6,540,6.0,18,3.00,35,19,54.3,1,0,5,0,0.0,2,2,0,0,0.0,Matches
20,Samir Handanović\Samir-Handanovic,si SVN,GK,it Inter,36-264,1984,6,6,540,6.0,9,1.50,21,15,66.7,1,3,2,2,33.3,2,2,0,0,0.0,Matches
21,Jesper Hansen\Jesper-Hansen,dk DEN,GK,dk Midtjylland,36-004,1985,4,4,360,4.0,9,2.25,30,20,70.0,0,2,2,0,0.0,0,0,0,0,,Matches
22,Dean Henderson\Dean-Henderson,eng ENG,GK,eng Manchester Utd,24-023,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
23,Marwin Hitz\Marwin-Hitz,ch SUI,GK,de Dortmund,33-198,1987,4,4,360,4.0,8,2.00,20,14,65.0,2,1,1,0,0.0,1,1,0,0,0.0,Matches
24,Ethan Horvath\Ethan-Horvath,us USA,GK,be Club Brugge,25-299,1995,1,1,90,1.0,1,1.00,3,3,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
25,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,eng Liverpool,22-132,1998,2,2,180,2.0,1,0.50,9,9,100.0,1,1,0,1,50.0,1,1,0,0,0.0,Matches
26,Mikhail Kerzhakov\Mikhail-Kerzhakov,ru RUS,GK,ru Zenit,34-066,1987,6,6,540,6.0,13,2.17,26,16,61.5,0,1,5,0,0.0,3,3,0,0,0.0,Matches
27,Steve Mandanda\Steve-Mandanda,fr FRA,GK,fr Marseille,36-007,1985,6,6,540,6.0,13,2.17,26,16,57.7,1,0,5,0,0.0,2,2,0,0,0.0,Matches
28,Agustín Marchesín\Agustin-Marchesin,ar ARG,GK,pt Porto,33-019,1988,7,7,660,7.3,7,0.95,31,24,80.6,4,1,2,4,57.1,2,1,0,1,0.0,Matches
29,Guilherme Marinato\Guilherme-Marinato,ru RUS,GK,ru Loko Moscow,35-113,1985,6,6,540,6.0,11,1.83,33,23,66.7,0,3,3,1,16.7,0,0,0,0,,Matches
30,Edouard Mendy\Edouard-Mendy,sn SEN,GK,eng Chelsea,29-034,1992,7,7,630,7.0,1,0.14,19,18,94.7,6,1,0,6,85.7,0,0,0,0,,Matches
31,Simon Mignolet\Simon-Mignolet,be BEL,GK,be Club Brugge,33-029,1988,5,5,450,5.0,9,1.80,24,16,66.7,1,2,2,1,20.0,1,1,0,0,0.0,Matches
32,Keylor Navas\Keylor-Navas,cr CRC,GK,fr Paris S-G,34-110,1986,8,8,720,8.0,8,1.00,37,31,86.5,5,1,2,2,25.0,4,3,1,0,25.0,Matches
33,Ruslan Neshcheret\Ruslan-Neshcheret,ua UKR,GK,ua Dynamo Kyiv,19-072,2002,1,1,90,1.0,2,2.00,13,12,92.3,0,0,1,0,0.0,1,1,0,0,0.0,Matches
34,Neto\Neto,br BRA,GK,es Barcelona,31-259,1989,3,3,270,3.0,2,0.67,3,3,66.7,3,0,0,2,66.7,1,1,0,0,0.0,Matches
35,Manuel Neuer\Manuel-Neuer,de GER,GK,de Bayern Munich,35-008,1986,6,6,540,6.0,5,0.83,36,31,86.1,6,0,0,2,33.3,0,0,0,0,,Matches
36,Alexander Nübel\Alexander-Nubel,de GER,GK,de Bayern Munich,24-186,1996,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,0,0.0,0,0,0,0,,Matches
37,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,28-087,1993,8,8,720,8.0,11,1.37,23,14,60.9,2,3,3,2,25.0,2,2,0,0,0.0,Matches
38,André Onana\Andre-Onana,cm CMR,GK,nl Ajax,25-002,1996,6,6,540,6.0,7,1.17,27,22,77.8,2,1,3,0,0.0,1,1,0,0,0.0,Matches
39,Alfonso Pastor\Alfonso-Pastor,es ESP,GK,es Sevilla,20-182,2000,1,1,90,1.0,4,4.00,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
40,Andriy Pyatov\Andriy-Pyatov,ua UKR,GK,ua Shakhtar,36-280,1984,1,1,90,1.0,4,4.00,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
41,Pepe Reina\Pepe-Reina,es ESP,GK,it Lazio,38-216,1982,7,7,630,7.0,12,1.71,26,17,61.5,1,4,2,0,0.0,2,2,0,0,0.0,Matches
42,José Sá\Jose-Sa,pt POR,GK,gr Olympiacos,28-077,1993,6,6,540,6.0,10,1.67,31,24,77.4,1,0,5,1,16.7,3,3,0,0,0.0,Matches
43,Matvei Safonov\Matvei-Safonov,ru RUS,GK,ru Krasnodar,22-038,1999,4,4,360,4.0,8,2.00,28,21,78.6,1,1,2,1,25.0,3,2,0,1,0.0,Matches
44,Romain Salin\Romain-Salin,fr FRA,GK,fr Rennes,36-249,1984,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches
45,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,32-108,1988,8,8,720,8.0,13,1.62,35,21,62.9,2,2,4,2,25.0,0,0,0,0,,Matches
46,Marco Sportiello\Marco-Sportiello,it ITA,GK,it Atalanta,28-329,1992,5,5,450,5.0,11,2.20,29,20,69.0,1,2,2,1,20.0,2,2,0,0,0.0,Matches
47,Cican Stankovic\Cican-Stankovic,at AUT,GK,at RB Salzburg,28-151,1992,6,6,540,6.0,17,2.83,30,16,50.0,1,1,4,0,0.0,2,2,0,0,0.0,Matches
48,Zack Steffen\Zack-Steffen,us USA,GK,eng Manchester City,26-002,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
49,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,26-016,1995,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
50,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,30-351,1990,7,7,660,7.3,8,1.09,26,20,76.9,5,0,2,2,28.6,2,2,0,0,0.0,Matches
51,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,28-339,1992,5,5,450,5.0,9,1.80,22,16,72.7,2,1,2,1,20.0,3,3,0,0,0.0,Matches
52,Anatolii Trubin\Anatolii-Trubin,ua UKR,GK,ua Shakhtar,19-246,2001,5,5,450,5.0,8,1.60,31,23,74.2,2,2,1,3,60.0,0,0,0,0,,Matches
53,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,es Sevilla,32-006,1989,2,2,180,2.0,3,1.50,5,3,60.0,2,0,0,0,0.0,1,1,0,0,0.0,Matches
